n02268443	dragonfly	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: darner dragonfly, emerald dragonfly, adult dragonfly, zone dragonfly, skimmer dragonfly, hawker dragonfly	[lemma] *: dragonfly in, dragonfly nymph, dragonfly or, dragonfly &#39;s, dragonfly larva, dragonfly and, dragonfly larvae, dragonfly is, dragonfly with, dragonfly nymphs	[lemma] in the *: 	* [lemma]: A dragonfly, the dragonfly, blue dragonfly, The dragonfly, a dragonfly, in dragonfly, large dragonfly, of dragonfly, adult dragonfly, and dragonfly	*_ADJ [lemma]: blue dragonfly, giant dragonfly, red dragonfly, small dragonfly, male dragonfly, large dragonfly, green dragonfly, adult dragonfly, winged dragonfly, young dragonfly
n02165456	ladybird beetle	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: ladybird beetle in, ladybird beetle from, ladybird beetle was, ladybird beetle which, ladybird beetle Harmonia, ladybird beetle has, ladybird beetle larvae, ladybird beetle and, ladybird beetle to, ladybird beetle is	[lemma] in the *: 	* [lemma]: the ladybird beetle, of ladybird beetle, Australian ladybird beetle, spotted ladybird beetle, or ladybird beetle, The ladybird beetle, small ladybird beetle, convergent ladybird beetle, A ladybird beetle, a ladybird beetle	*_ADJ [lemma]: Australian ladybird beetle, spotted ladybird beetle, black ladybird beetle, small ladybird beetle, convergent ladybird beetle, spot ladybird beetle, aphidophagous ladybird beetle
n03461385	grocery store	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: chain grocery store, family grocery store, corner grocery store, convenience grocery store, neighborhood grocery store, combination grocery store, town grocery store, village grocery store, service grocery store, country grocery store	[lemma] *: grocery store and, grocery store is, grocery store or, grocery store for, grocery store at, grocery store of, grocery store with, grocery store on, grocery store to, grocery store in	[lemma] in the *: grocery store in the front, grocery store in the town, grocery store in the basement, grocery store in the village, grocery store in the country, grocery store in the city, grocery store in the next, grocery store in the neighborhood	* [lemma]: a grocery store, and grocery store, his grocery store, local grocery store, &#39;s grocery store, The grocery store, small grocery store, corner grocery store, retail grocery store, the grocery store	*_ADJ [lemma]: local grocery store, nearest grocery store, first grocery store, small grocery store, retail grocery store, large grocery store, little grocery store, wholesale grocery store, independent grocery store, new grocery store
n03461385	grocery	[lemma] is *_VERB: 	[lemma] was *_VERB: grocery was opened, grocery was established, grocery was closed, grocery was located	*_NOUN [lemma]: paper grocery, combination grocery, corner grocery, family grocery, country grocery, service grocery, neighborhood grocery, village grocery, Chain grocery, chain grocery	[lemma] *: grocery bill, grocery business, grocery trade, grocery shopping, grocery stores, grocery and, grocery chains, grocery shop, grocery or, grocery store	[lemma] in the *: grocery in the village, grocery in the neighborhood, grocery in the town, grocery in the city	* [lemma]: a grocery, corner grocery, small grocery, retail grocery, the grocery, of grocery, in grocery, wholesale grocery, and grocery, &#39;s grocery	*_ADJ [lemma]: general grocery, old grocery, independent grocery, local grocery, other grocery, retail grocery, small grocery, wholesale grocery, large grocery, little grocery
n03461385	food market	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: health food market, U.S. food market, cat food market, baby food market, world food market, breakfast food market, convenience food market, London food market, dog food market, snack food market	[lemma] *: food market to, food market has, food market was, food market is, food market or, food market on, food market with, food market in, food market and, food market of	[lemma] in the *: food market in the UK	* [lemma]: complete food market, the food market, wholesale food market, local food market, world food market, fast food market, a food market, London food market, The food market, retail food market	*_ADJ [lemma]: complete food market, frozen food market, modern food market, local food market, fast food market, wholesale food market, domestic food market, retail food market, pet food market, central food market
n03461385	market	[lemma] is *_VERB: market is glutted, market is concerned, market is supplied, market is limited, market is going, market is overstocked, market is held	[lemma] was *_VERB: market was closed, market was granted, market was overstocked, market was flooded, market was opened, market was established, market was glutted, market was held	*_NOUN [lemma]: export market, capital market, world market, stock market, labour market, home market, London market, money market, labor market, exchange market	[lemma] *: market and, market to, market for, market is, market of, market in, market place, market price, market was, market value	[lemma] in the *: market in the West, market in the country, market in the early, market in the town, market in the late, market in the city	* [lemma]: of market, stock market, open market, to market, The market, the market, a market, money market, labor market, and market	*_ADJ [lemma]: ready market, black market, American market, local market, new market, domestic market, fair market, open market, free market, foreign market
n03485794	handkerchief	[lemma] is *_VERB: handkerchief is worn, handkerchief is folded, handkerchief is dropped, handkerchief is held, handkerchief is thrown, handkerchief is tied, handkerchief is given, handkerchief is bound	[lemma] was *_VERB: handkerchief was taken, handkerchief was tied, handkerchief was thrown, handkerchief was bound, handkerchief was knotted, handkerchief was waved, handkerchief was wrapped, handkerchief was thrust, handkerchief was drawn	*_NOUN [lemma]: muslin handkerchief, cotton handkerchief, pocket handkerchief, lace handkerchief, bandana handkerchief, bandanna handkerchief, cambric handkerchief, Madras handkerchief, silk handkerchief, linen handkerchief	[lemma] *: handkerchief was, handkerchief and, handkerchief to, handkerchief from, handkerchief round, handkerchief tied, handkerchief of, handkerchief in, handkerchief over, handkerchief on	[lemma] in the *: handkerchief in the pocket, handkerchief in the hand, handkerchief in the water, handkerchief in the breast, handkerchief in the right, handkerchief in the basket, handkerchief in the blood	* [lemma]: the handkerchief, red handkerchief, pocket handkerchief, my handkerchief, her handkerchief, a handkerchief, white handkerchief, his handkerchief, &#39;s handkerchief, silk handkerchief	*_ADJ [lemma]: large handkerchief, coloured handkerchief, embroidered handkerchief, red handkerchief, clean handkerchief, blue handkerchief, white handkerchief, cambric handkerchief, own handkerchief, black handkerchief
n03485794	hankie	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: linen hankie, cotton hankie, paper hankie, pocket hankie, silk hankie, lace hankie	[lemma] *: hankie out, hankie or, hankie for, hankie at, hankie from, hankie and, hankie to, hankie into, hankie with, hankie in	[lemma] in the *: 	* [lemma]: his hankie, white hankie, my hankie, red hankie, your hankie, the hankie, her hankie, a hankie, lace hankie, clean hankie	*_ADJ [lemma]: white hankie, embroidered hankie, wet hankie, scented hankie, red hankie, damp hankie, edged hankie, little hankie, blue hankie, clean hankie
n03485794	hanky	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: paper hanky, pocket hanky, lace hanky, cotton hanky, linen hanky, nothing hanky, silk hanky	[lemma] *: hanky and, hanky or, hanky panky, hanky on, hanky with, hanky into, hanky out, hanky from, hanky in, hanky to	[lemma] in the *: hanky in the pocket	* [lemma]: no hanky, her hanky, a hanky, your hanky, the hanky, of hanky, some hanky, any hanky, my hanky, his hanky	*_ADJ [lemma]: political hanky, much hanky, clean hanky, red hanky, such hanky, little hanky, wet hanky, sexual hanky, financial hanky, white hanky
n03485794	hankey	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: _ hankey	*_ADJ [lemma]: 
n01695060	Komodo dragon	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: Komodo dragon lizard, Komodo dragon has, Komodo dragon and, Komodo dragon of, Komodo dragon is, Komodo dragon in, Komodo dragon was, Komodo dragon can, Komodo dragon _, Komodo dragon &#39;s	[lemma] in the *: 	* [lemma]: giant Komodo dragon, and Komodo dragon, the Komodo dragon, A Komodo dragon, a Komodo dragon, _ Komodo dragon, The Komodo dragon, long Komodo dragon	*_ADJ [lemma]: giant Komodo dragon, long Komodo dragon
n01695060	Komodo lizard	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: the Komodo lizard	*_ADJ [lemma]: 
n01695060	dragon lizard	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: dragon lizard of	[lemma] in the *: 	* [lemma]: a dragon lizard, Komodo dragon lizard, the dragon lizard	*_ADJ [lemma]: Komodo dragon lizard
n01695060	giant lizard	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: giant lizard or, giant lizard in, giant lizard and, giant lizard of, giant lizard is, giant lizard with, giant lizard which, giant lizard that, giant lizard was, giant lizard &#39;s	[lemma] in the *: 	* [lemma]: of giant lizard, Hierro giant lizard, a giant lizard, this giant lizard, the giant lizard, A giant lizard, The giant lizard, or giant lizard	*_ADJ [lemma]: 
n01695060	Varanus komodoensis	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: dragon Varanus komodoensis	[lemma] *: 	[lemma] in the *: 	* [lemma]: _ Varanus komodoensis, of Varanus komodoensis, in Varanus komodoensis, dragon Varanus komodoensis	*_ADJ [lemma]: 
n09428293	seashore	[lemma] is *_VERB: seashore is covered	[lemma] was *_VERB: seashore was established	*_NOUN [lemma]: Florida seashore, salt seashore, Maine seashore, Jersey seashore, England seashore, summer seashore, Aviv seashore, Massachusetts seashore, California seashore, Island seashore	[lemma] *: seashore or, seashore with, seashore and, seashore is, seashore at, seashore where, seashore of, seashore in, seashore to, seashore for	[lemma] in the *: seashore in the early, seashore in the summer, seashore in the evening, seashore in the vicinity, seashore in the morning	* [lemma]: or seashore, _ seashore, to seashore, national seashore, and seashore, The seashore, on seashore, the seashore, a seashore, of seashore	*_ADJ [lemma]: other seashore, sandy seashore, lonely seashore, very seashore, Atlantic seashore, national seashore, rocky seashore, wild seashore, beautiful seashore, little seashore
n09428293	coast	[lemma] is *_VERB: coast is covered, coast is bordered, coast is formed, coast is lined, coast is fringed, coast is broken, coast is composed, coast is indented	[lemma] was *_VERB: coast was visited, coast was discovered, coast was covered, coast was lined, coast was called, coast was occupied, coast was reached	*_NOUN [lemma]: China coast, sea coast, Sea coast, northeast coast, California coast, England coast, W. coast, Guinea coast, Gulf coast, Pacific coast	[lemma] *: coast from, coast is, coast was, coast as, coast at, coast to, coast and, coast of, coast line, coast in	[lemma] in the *: coast in the spring, coast in the winter, coast in the neighbourhood, coast in the year, coast in the summer, coast in the early, coast in the direction, coast in the vicinity	* [lemma]: sea coast, eastern coast, the coast, this coast, western coast, east coast, Atlantic coast, of coast, west coast, Pacific coast	*_ADJ [lemma]: southern coast, northern coast, eastern coast, south coast, western coast, east coast, north coast, Atlantic coast, west coast, Pacific coast
n09428293	seacoast	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: Georgia seacoast, Pacific seacoast, Massachusetts seacoast, Carolina seacoast, England seacoast, California seacoast, Hampshire seacoast, Jersey seacoast, Maine seacoast, Arctic seacoast	[lemma] *: seacoast in, seacoast or, seacoast towns, seacoast town, seacoast and, seacoast of, seacoast to, seacoast from, seacoast is, seacoast was	[lemma] in the *: seacoast in the south, seacoast in the vicinity, seacoast in the east	* [lemma]: a seacoast, of seacoast, whole seacoast, and seacoast, eastern seacoast, The seacoast, our seacoast, no seacoast, Atlantic seacoast, the seacoast	*_ADJ [lemma]: southern seacoast, extensive seacoast, western seacoast, inch seacoast, northern seacoast, entire seacoast, whole seacoast, eastern seacoast, Atlantic seacoast, long seacoast
n09428293	sea-coast	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: sea - coast to, sea - coast and, sea - coast of, sea - coast in, sea - coast on, sea - coast or, sea - coast is, sea - coast from, sea - coast at, sea - coast was	[lemma] in the *: 	* [lemma]: The sea - coast, the sea - coast, our sea - coast, no sea - coast, extensive sea - coast, whole sea - coast, of sea - coast, a sea - coast, and sea - coast, its sea - coast	*_ADJ [lemma]: 
n01985128	crayfish	[lemma] is *_VERB: crayfish is hatched, crayfish is divided, crayfish is held	[lemma] was *_VERB: 	*_NOUN [lemma]: cave crayfish, sea crayfish, water crayfish, baby crayfish, mother crayfish, Murray crayfish, River crayfish, river crayfish, dwarf crayfish, dozen crayfish	[lemma] *: crayfish in, crayfish has, crayfish were, crayfish with, crayfish are, crayfish from, crayfish or, crayfish and, crayfish to, crayfish is	[lemma] in the *: crayfish in the streams, crayfish in the water, crayfish in the river, crayfish in the brook, crayfish in the creek, crayfish in the stream	* [lemma]: a crayfish, of crayfish, in crayfish, _ crayfish, or crayfish, the crayfish, and crayfish, The crayfish, for crayfish, freshwater crayfish	*_ADJ [lemma]: common crayfish, small crayfish, little crayfish, female crayfish, large crayfish, English crayfish, water crayfish, young crayfish, blind crayfish, freshwater crayfish
n01985128	crawfish	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: river crawfish, pound crawfish, Cape crawfish, sea crawfish, Louisiana crawfish, pounds crawfish	[lemma] *: crawfish in, crawfish and, crawfish or, crawfish is, crawfish to, crawfish were, crawfish are, crawfish for, crawfish tails, crawfish of	[lemma] in the *: crawfish in the water	* [lemma]: The crawfish, and crawfish, of crawfish, a crawfish, the crawfish, to crawfish, or crawfish, with crawfish, live crawfish, for crawfish	*_ADJ [lemma]: many crawfish, water crawfish, young crawfish, large crawfish, small crawfish, red crawfish, common crawfish, live crawfish, blind crawfish, boiled crawfish
n01985128	crawdad	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: crawdad fishing, crawdad in, crawdad &#39;s, crawdad on, crawdad hole, crawdad holes, crawdad is, crawdad and, crawdad tails, crawdad or	[lemma] in the *: 	* [lemma]: a crawdad, The crawdad, of crawdad, the crawdad, and crawdad, that crawdad, or crawdad	*_ADJ [lemma]: 
n01985128	crawdaddy	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: a crawdaddy	*_ADJ [lemma]: 
n02814860	beacon	[lemma] is *_VERB: beacon is lighted, beacon is located, beacon is blazing, beacon is erected, beacon is extinguished, beacon is passed	[lemma] was *_VERB: beacon was rekindled, beacon was erected, beacon was blown, beacon was lighted, beacon was lit, beacon was kindled	*_NOUN [lemma]: marker beacon, range beacon, corner beacon, Worcestershire beacon, Herefordshire beacon, radar beacon, airport beacon, warning beacon, radio beacon, stone beacon	[lemma] *: beacon was, beacon on, beacon to, beacon fires, beacon in, beacon for, beacon light, beacon lights, beacon and, beacon of	[lemma] in the *: beacon in the storm, beacon in the night, beacon in the dark, beacon in the time, beacon in the midst, beacon in the midnight, beacon in the darkness, beacon in the sky, beacon in the distance	* [lemma]: radio beacon, of beacon, The beacon, or beacon, this beacon, as beacon, a beacon, the beacon, A beacon, and beacon	*_ADJ [lemma]: lofty beacon, first beacon, flaming beacon, blazing beacon, old beacon, friendly beacon, great beacon, red beacon, mighty beacon, bright beacon
n02814860	lighthouse	[lemma] is *_VERB: lighthouse is built, lighthouse is surrounded, lighthouse is erected, lighthouse is provided, lighthouse is maintained, lighthouse is located, lighthouse is situated	[lemma] was *_VERB: lighthouse was completed, lighthouse was commenced, lighthouse was established, lighthouse was begun, lighthouse was erected, lighthouse was destroyed, lighthouse was finished, lighthouse was constructed	*_NOUN [lemma]: Head lighthouse, Point lighthouse, stone lighthouse, Rock lighthouse, Boston lighthouse, Island lighthouse, iron lighthouse, Hook lighthouse, pile lighthouse, Eddystone lighthouse	[lemma] *: lighthouse in, lighthouse at, lighthouse to, lighthouse tower, lighthouse was, lighthouse and, lighthouse on, lighthouse keeper, lighthouse is, lighthouse of	[lemma] in the *: lighthouse in the very, lighthouse in the night, lighthouse in the midst, lighthouse in the dark, lighthouse in the sea, lighthouse in the distance	* [lemma]: new lighthouse, its lighthouse, the lighthouse, of lighthouse, a lighthouse, A lighthouse, and lighthouse, The lighthouse, old lighthouse, Eddystone lighthouse	*_ADJ [lemma]: general lighthouse, new lighthouse, great lighthouse, tall lighthouse, small lighthouse, famous lighthouse, little lighthouse, first lighthouse, old lighthouse, white lighthouse
n02814860	beacon light	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: airport beacon light, marker beacon light	[lemma] *: beacon light on, beacon light was, beacon light which, beacon light that, beacon light of, beacon light is, beacon light in, beacon light to, beacon light and, beacon light for	[lemma] in the *: beacon light in the darkness, beacon light in the stern	* [lemma]: the beacon light, a beacon light, his beacon light, great beacon light, this beacon light, A beacon light, its beacon light, The beacon light, that beacon light, and beacon light	*_ADJ [lemma]: faint beacon light, bright beacon light, first beacon light, last beacon light, great beacon light, only beacon light, lofty beacon light, powerful beacon light, red beacon light, revolving beacon light
n02814860	pharos	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: word pharos	[lemma] *: pharos or, pharos which, pharos was, pharos in, pharos at, pharos is, pharos of, pharos and, pharos to, pharos on	[lemma] in the *: 	* [lemma]: this pharos, The pharos, its pharos, a pharos, or pharos, the pharos, and pharos, lofty pharos, Roman pharos, ancient pharos	*_ADJ [lemma]: white pharos, tall pharos, giant pharos, mighty pharos, ancient pharos, lofty pharos, Roman pharos, revolving pharos, great pharos, ruined pharos
n02066245	grey whale	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: California grey whale	[lemma] *: grey whale of, grey whale is, grey whale and, grey whale has, grey whale was, grey whale in	[lemma] in the *: 	* [lemma]: of grey whale, Pacific grey whale, a grey whale, California grey whale, the grey whale, Californian grey whale, The grey whale	*_ADJ [lemma]: Californian grey whale
n02066245	gray whale	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: baby gray whale, mother gray whale, California gray whale, Pacific gray whale	[lemma] *: gray whale population, gray whale of, gray whale and, gray whale has, gray whale in, gray whale &#39;s, gray whale is, gray whale feeding, gray whale migration, gray whale was	[lemma] in the *: 	* [lemma]: The gray whale, of gray whale, great gray whale, Atlantic gray whale, Pacific gray whale, the gray whale, a gray whale, A gray whale, California gray whale, _ gray whale	*_ADJ [lemma]: Californian gray whale, great gray whale, Atlantic gray whale, Pacific gray whale, captive gray whale, young gray whale, adult gray whale, female gray whale, California gray whale, huge gray whale
n02066245	devilfish	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: monster devilfish	[lemma] *: devilfish of, devilfish that, devilfish or, devilfish in, devilfish had, devilfish is, devilfish and, devilfish was, devilfish are, devilfish has	[lemma] in the *: 	* [lemma]: _ devilfish, monster devilfish, or devilfish, A devilfish, of devilfish, The devilfish, the devilfish, and devilfish, giant devilfish, a devilfish	*_ADJ [lemma]: giant devilfish
n02066245	Eschrichtius gibbosus	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: 	*_ADJ [lemma]: 
n02066245	Eschrichtius robustus	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: Whale Eschrichtius robustus, whale Eschrichtius robustus	[lemma] *: 	[lemma] in the *: 	* [lemma]: Whale Eschrichtius robustus, _ Eschrichtius robustus, whale Eschrichtius robustus	*_ADJ [lemma]: 
n02687172	aircraft carrier	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: class aircraft carrier, ton aircraft carrier, S. aircraft carrier, attack aircraft carrier, States aircraft carrier, escort aircraft carrier, U.S. aircraft carrier, enemy aircraft carrier, fleet aircraft carrier, Navy aircraft carrier	[lemma] *: aircraft carrier to, aircraft carrier is, aircraft carrier of, aircraft carrier and, aircraft carrier USS, aircraft carrier Ark, aircraft carrier was, aircraft carrier in, aircraft carrier with, aircraft carrier Enterprise	[lemma] in the *: aircraft carrier in the South, aircraft carrier in the Indian, aircraft carrier in the Pacific, aircraft carrier in the Gulf, aircraft carrier in the Bay, aircraft carrier in the U.S., aircraft carrier in the Atlantic, aircraft carrier in the Mediterranean	* [lemma]: The aircraft carrier, the aircraft carrier, Japanese aircraft carrier, U.S. aircraft carrier, one aircraft carrier, British aircraft carrier, unsinkable aircraft carrier, powered aircraft carrier, an aircraft carrier, American aircraft carrier	*_ADJ [lemma]: nuclear aircraft carrier, ton aircraft carrier, Japanese aircraft carrier, British aircraft carrier, new aircraft carrier, unsinkable aircraft carrier, first aircraft carrier, powered aircraft carrier, small aircraft carrier, American aircraft carrier
n02687172	carrier	[lemma] is *_VERB: carrier is held, carrier is authorized, carrier is modulated, carrier is bound, carrier is engaged, carrier is obliged, carrier is entitled, carrier is required	[lemma] was *_VERB: carrier was bound, carrier was entitled, carrier was held, carrier was sunk, carrier was added, carrier was touched, carrier was required	*_NOUN [lemma]: insurance carrier, contract carrier, mail carrier, letter carrier, ball carrier, minority carrier, air carrier, motor carrier, water carrier, aircraft carrier	[lemma] *: carrier was, carrier to, carrier frequency, carrier or, carrier is, carrier for, carrier in, carrier &#39;s, carrier and, carrier of	[lemma] in the *: carrier in the course, carrier in the transportation, carrier in the navigation, carrier in the case, carrier in the country, carrier in the Pacific	* [lemma]: and carrier, or carrier, of carrier, The carrier, a carrier, air carrier, common carrier, motor carrier, the carrier, aircraft carrier	*_ADJ [lemma]: such carrier, modulated carrier, first carrier, other carrier, unmodulated carrier, ocean carrier, common carrier, initial carrier, public carrier, private carrier
n02687172	flattop	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: baby flattop, enemy flattop	[lemma] *: flattop is, flattop &#39;s, flattop was, flattop desk, flattop to, flattop and, flattop of, flattop antenna, flattop haircut, flattop in	[lemma] in the *: 	* [lemma]: his flattop, a flattop, of flattop, The flattop, baby flattop, and flattop, as flattop, the flattop, one flattop, big flattop	*_ADJ [lemma]: Japanese flattop, new flattop, gray flattop, small flattop, largest flattop, big flattop, blond flattop, large flattop, American flattop, old flattop
n02687172	attack aircraft carrier	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: attack aircraft carrier USS	[lemma] in the *: 	* [lemma]: the attack aircraft carrier, an attack aircraft carrier, powered attack aircraft carrier	*_ADJ [lemma]: 
n02443114	polecat	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: steppe polecat, Cape polecat	[lemma] *: polecat was, polecat &#39;s, polecat has, polecat will, polecat of, polecat seems, polecat is, polecat and, polecat or, polecat in	[lemma] in the *: 	* [lemma]: _ polecat, that polecat, or polecat, and polecat, the polecat, European polecat, a polecat, common polecat, The polecat, of polecat	*_ADJ [lemma]: striped polecat, single polecat, roasted polecat, European polecat, large polecat, common polecat, American polecat, wild polecat, dead polecat, old polecat
n02443114	fitch	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: fitch of, fitch a, fitch or, fitch hair, fitch &#39;s, fitch is, fitch skins, fitch and, fitch as, fitch pencil	[lemma] in the *: 	* [lemma]: the fitch, in fitch, or fitch, The fitch, to fitch, a fitch, _ fitch, of fitch, with fitch, and fitch	*_ADJ [lemma]: Russian fitch, black fitch, small fitch
n02443114	foulmart	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: a foulmart	*_ADJ [lemma]: 
n02443114	foumart	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: foumart is, foumart and, foumart that	[lemma] in the *: 	* [lemma]: The foumart, the foumart, a foumart, and foumart, or foumart	*_ADJ [lemma]: 
n02443114	Mustela putorius	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: Mustela putorius Linnaeus, Mustela putorius L., Mustela putorius furo	[lemma] in the *: 	* [lemma]: of Mustela putorius, polecat Mustela putorius, Polecat Mustela putorius, _ Mustela putorius	*_ADJ [lemma]: polecat Mustela putorius
n03425413	gas pump	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: gas pump at, gas pump in, gas pump or, gas pump may, gas pump for, gas pump and, gas pump on, gas pump was, gas pump is, gas pump to	[lemma] in the *: 	* [lemma]: a gas pump, of gas pump, the gas pump, single gas pump, &#39;s gas pump, and gas pump, The gas pump, A gas pump, Humphrey gas pump, mercurial gas pump	*_ADJ [lemma]: lone gas pump, own gas pump, old gas pump, red gas pump, mercurial gas pump, small gas pump, new gas pump, first gas pump, Humphrey gas pump, single gas pump
n03425413	gasoline pump	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: gasoline pump and, gasoline pump is, gasoline pump or, gasoline pump for, gasoline pump at, gasoline pump which, gasoline pump was, gasoline pump on, gasoline pump to, gasoline pump in	[lemma] in the *: 	* [lemma]: The gasoline pump, a gasoline pump, of gasoline pump, and gasoline pump, the gasoline pump, first gasoline pump, or gasoline pump, A gasoline pump, small gasoline pump, red gasoline pump	*_ADJ [lemma]: old gasoline pump, portable gasoline pump, single gasoline pump, new gasoline pump, first gasoline pump, operated gasoline pump, service gasoline pump, small gasoline pump, broken gasoline pump, red gasoline pump
n03425413	petrol pump	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: Shell petrol pump	[lemma] *: petrol pump attendant, petrol pump is, petrol pump and, petrol pump on, petrol pump was, petrol pump or, petrol pump at, petrol pump in, petrol pump attendants, petrol pump to	[lemma] in the *: 	* [lemma]: a petrol pump, one petrol pump, and petrol pump, The petrol pump, the petrol pump, electric petrol pump, no petrol pump, A petrol pump, of petrol pump, or petrol pump	*_ADJ [lemma]: old petrol pump, electric petrol pump, nearest petrol pump, first petrol pump, single petrol pump, only petrol pump
n03425413	island dispenser	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: 	*_ADJ [lemma]: 
n03666591	lighter	[lemma] is *_VERB: 	[lemma] was *_VERB: lighter was towed, lighter was lying, lighter was run, lighter was sunk, lighter was leaking, lighter was mustered, lighter was cut, lighter was loaded, lighter was moving	*_NOUN [lemma]: cigarette lighter, body lighter, liquids lighter, shade lighter, heart lighter, gas lighter, times lighter, something lighter, shades lighter, pounds lighter	[lemma] *: lighter the, lighter colour, lighter on, lighter shade, lighter in, lighter color, lighter or, lighter ones, lighter and, lighter than	[lemma] in the *: lighter in the colour, lighter in the scale, lighter in the balance, lighter in the female, lighter in the course, lighter in the water	* [lemma]: of lighter, is lighter, are lighter, the lighter, The lighter, with lighter, and lighter, be lighter, a lighter, much lighter	*_ADJ [lemma]: few lighter, such lighter, other lighter, little lighter, various lighter, many lighter, whole lighter, much lighter, own lighter, third lighter
n03666591	light	[lemma] is *_VERB: light is thrown, light is emitted, light is reflected, light is transmitted, light is produced, light is shed, light is come, light is admitted	[lemma] was *_VERB: light was shining, light was thrown, light was reflected, light was admitted, light was shed, light was burning, light was extinguished, light was turned	*_NOUN [lemma]: incident light, evening light, morning light, traffic light, violet light, burden light, beacon light, candle light, Electric light, day light	[lemma] *: light from, light of, light in, light which, light on, light is, light and, light to, light that, light upon	[lemma] in the *: light in the darkness, light in the morning, light in the midst, light in the room, light in the Lord, light in the sky, light in the dark, light in the window	* [lemma]: the light, in light, of light, this light, to light, The light, with light, a light, that light, and light	*_ADJ [lemma]: white light, new light, much light, red light, same light, bright light, more light, electric light, true light, other light
n03666591	igniter	[lemma] is *_VERB: igniter is illustrated, igniter is operated, igniter is located	[lemma] was *_VERB: 	*_NOUN [lemma]: powder igniter, magneto igniter, tension igniter, spark igniter, tube igniter, torch igniter, gas igniter, flame igniter, Electric igniter, fuse igniter	[lemma] *: igniter of, igniter is, igniter and, igniter for, igniter plug, igniter was, igniter current, igniter points, igniter circuit, igniter in	[lemma] in the *: 	* [lemma]: or igniter, The igniter, spark igniter, an igniter, break igniter, the igniter, tube igniter, electric igniter, and igniter, of igniter	*_ADJ [lemma]: electrical igniter, pyrotechnic igniter, new igniter, special igniter, main igniter, break igniter, typical igniter, automatic igniter, internal igniter, electric igniter
