n02268443	dragonfly	[lemma] was *_VERB: 	[lemma] is *_VERB: dragonfly is called, dragonfly is shown	*_ADJ [lemma]: adult dragonfly, blue dragonfly, giant dragonfly, green dragonfly, large dragonfly, male dragonfly, red dragonfly, small dragonfly, winged dragonfly, young dragonfly	[lemma] in the *: 	*_NOUN [lemma]: adult dragonfly, darner dragonfly, emerald dragonfly, hawker dragonfly, skimmer dragonfly, zone dragonfly
n03950228	ewer	[lemma] was *_VERB: ewer was found, ewer was made	[lemma] is *_VERB: 	*_ADJ [lemma]: brass ewer, bronze ewer, gilt ewer, gold ewer, golden ewer, large ewer, metal ewer, shaped ewer, silver ewer, small ewer	[lemma] in the *: ewer in the British, ewer in the form, ewer in the other, ewer in the shape	*_NOUN [lemma]: bedroom ewer, brass ewer, china ewer, copper ewer, cream ewer, glass ewer, silver ewer, stone ewer, water ewer, wine ewer
n03532672	hook	[lemma] was *_VERB: hook was attached, hook was baited, hook was fastened, hook was fixed, hook was found, hook was made, hook was passed, hook was published, hook was used, hook was written	[lemma] is *_VERB: hook is attached, hook is baited, hook is fastened, hook is fixed, hook is inserted, hook is made, hook is passed, hook is placed, hook is tied, hook is used	*_ADJ [lemma]: baited hook, blunt hook, double hook, large hook, left hook, little hook, own hook, sharp hook, single hook, small hook	[lemma] in the *: hook in the ceiling, hook in the end, hook in the following, hook in the middle, hook in the nose, hook in the nostrils, hook in the same, hook in the wall, hook in the water, hook in the wing	*_NOUN [lemma]: boat hook, brass hook, crane hook, crochet hook, fish hook, iron hook, steel hook, strabismus hook, switch hook, wire hook
n03532672	claw	[lemma] was *_VERB: claw was attached, claw was cut, claw was flashed, claw was found, claw was set, claw was used	[lemma] is *_VERB: claw is attached, claw is broken, claw is considered, claw is fixed, claw is held, claw is placed, claw is retracted, claw is serrated, claw is supposed, claw is used	*_ADJ [lemma]: curved claw, hind claw, large claw, long claw, middle claw, right claw, sharp claw, single claw, small claw, terminal claw	[lemma] in the *: claw in the air, claw in the centre, claw in the male, claw in the shape	*_NOUN [lemma]: bear claw, cat claw, crab claw, hind claw, iron claw, lobster claw, poison claw, steel claw, thumb claw, tiger claw
n03345487	fire engine	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: common fire engine, drawn fire engine, first fire engine, little fire engine, modern fire engine, new fire engine, old fire engine, powerful fire engine, red fire engine, small fire engine	[lemma] in the *: fire engine in the city	*_NOUN [lemma]: London fire engine, Steam fire engine, automobile fire engine, city fire engine, hand fire engine, motor fire engine, steam fire engine, town fire engine, toy fire engine, village fire engine
n03345487	fire truck	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big fire truck, first fire truck, modern fire truck, motorized fire truck, new fire truck, old fire truck, own fire truck, red fire truck, second fire truck, small fire truck	[lemma] in the *: 	*_NOUN [lemma]: Ford fire truck, France fire truck, LaFrance fire truck, airport fire truck, city fire truck, ladder fire truck, motor fire truck, town fire truck, toy fire truck, volunteer fire truck
n01665541	leatherback turtle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Atlantic leatherback turtle, Pacific leatherback turtle, female leatherback turtle, giant leatherback turtle	[lemma] in the *: 	*_NOUN [lemma]: 
n01665541	leatherback	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Atlantic leatherback, Pacific leatherback, adult leatherback, female leatherback, giant leatherback, great leatherback, huge leatherback, large leatherback, marine leatherback, modern leatherback	[lemma] in the *: 	*_NOUN [lemma]: Pacific leatherback
n01665541	leathery turtle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n01665541	Dermochelys coriacea	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: leatherback Dermochelys coriacea	[lemma] in the *: 	*_NOUN [lemma]: Turtle Dermochelys coriacea, turtle Dermochelys coriacea, turtles Dermochelys coriacea
n02837789	bikini	[lemma] was *_VERB: bikini was made	[lemma] is *_VERB: 	*_ADJ [lemma]: black bikini, blue bikini, green bikini, new bikini, pink bikini, red bikini, skimpy bikini, tiny bikini, white bikini, yellow bikini	[lemma] in the *: 	*_NOUN [lemma]: cotton bikini, dot bikini, lace bikini, leather bikini, nylon bikini, print bikini, satin bikini, silk bikini, string bikini, thong bikini
n02837789	two-piece	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n03873416	paddle	[lemma] was *_VERB: paddle was dipped, paddle was driven, paddle was found, paddle was gone, paddle was heard, paddle was made, paddle was put, paddle was raised, paddle was turned, paddle was used	[lemma] is *_VERB: paddle is applied, paddle is brought, paddle is dipped, paddle is held, paddle is inserted, paddle is made, paddle is placed, paddle is shown, paddle is turned, paddle is used	*_ADJ [lemma]: bladed paddle, common paddle, double paddle, large paddle, little paddle, long paddle, old paddle, single paddle, small paddle, wooden paddle	[lemma] in the *: paddle in the air, paddle in the brook, paddle in the canoe, paddle in the cold, paddle in the lake, paddle in the other, paddle in the pond, paddle in the social, paddle in the stern, paddle in the water	*_NOUN [lemma]: bow paddle, canoe paddle, children paddle, dog paddle, iron paddle, men paddle, side paddle, skin paddle, steam paddle, steering paddle
n03873416	boat paddle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n03394916	French horn	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: brass French horn, fine French horn, first French horn, good French horn, large French horn, modern French horn, old French horn, polished French horn, second French horn, solo French horn	[lemma] in the *: French horn in the band, French horn in the orchestra, French horn in the school	*_NOUN [lemma]: bass French horn, chair French horn
n03394916	horn	[lemma] was *_VERB: horn was blowing, horn was blown, horn was broken, horn was found, horn was heard, horn was made, horn was seen, horn was slung, horn was sounded, horn was used	[lemma] is *_VERB: horn is attached, horn is blown, horn is cut, horn is found, horn is heard, horn is made, horn is placed, horn is said, horn is sounded, horn is used	*_ADJ [lemma]: English horn, French horn, anterior horn, dorsal horn, great horn, large horn, little horn, other horn, posterior horn, single horn	[lemma] in the *: horn in the distance, horn in the dust, horn in the forehead, horn in the middle, horn in the morning, horn in the orchestra, horn in the other, horn in the same, horn in the world, horn in the year	*_NOUN [lemma]: air horn, bugle horn, drinking horn, fog horn, hunting horn, powder horn, saddle horn, silver horn, tin horn, ventral horn
n03496892	harvester	[lemma] was *_VERB: harvester was designed, harvester was developed, harvester was introduced, harvester was invented, harvester was used	[lemma] is *_VERB: harvester is being, harvester is shown, harvester is taken, harvester is used	*_ADJ [lemma]: American harvester, Combine harvester, Combined harvester, Forage harvester, binding harvester, complete harvester, great harvester, mechanical harvester, modern harvester, red harvester	[lemma] in the *: harvester in the field	*_NOUN [lemma]: Marsh harvester, beet harvester, cane harvester, combine harvester, corn harvester, cotton harvester, forage harvester, grain harvester, potato harvester, tomato harvester
n03496892	reaper	[lemma] was *_VERB: reaper was blindfolded, reaper was followed, reaper was introduced, reaper was invented, reaper was made, reaper was patented, reaper was pushed, reaper was tossed, reaper was used	[lemma] is *_VERB: reaper is being, reaper is done, reaper is heard, reaper is taken, reaper is wounded	*_ADJ [lemma]: American reaper, binding reaper, first reaper, great reaper, grim reaper, joyful reaper, mechanical reaper, old reaper, solitary reaper, successful reaper	[lemma] in the *: reaper in the field, reaper in the fields, reaper in the harvest, reaper in the middle, reaper in the shed	*_NOUN [lemma]: Highland reaper, Hussey reaper, McCormick reaper, delivery reaper, grain reaper, head reaper, man reaper, patent reaper, rake reaper, woman reaper
n10148035	groom	[lemma] was *_VERB: groom was despatched, groom was dispatched, groom was dressed, groom was holding, groom was leading, groom was ordered, groom was sent, groom was standing, groom was waiting, groom was walking	[lemma] is *_VERB: groom is called, groom is dressed, groom is employed, groom is expected, groom is given, groom is obliged, groom is required, groom is supposed, groom is taken, groom is told	*_ADJ [lemma]: English groom, chief groom, good groom, little groom, new groom, old groom, own groom, poor groom, prospective groom, young groom	[lemma] in the *: groom in the King, groom in the employ, groom in the house, groom in the livery, groom in the midst, groom in the royal, groom in the same, groom in the service, groom in the stable, groom in the stables	*_NOUN [lemma]: base groom, bride groom, head groom, negro groom, pad groom, stud groom, time groom, training groom, trusty groom
n10148035	bridegroom	[lemma] was *_VERB: bridegroom was allowed, bridegroom was carried, bridegroom was coming, bridegroom was conducted, bridegroom was detained, bridegroom was dressed, bridegroom was expected, bridegroom was found, bridegroom was obliged, bridegroom was taken	[lemma] is *_VERB: bridegroom is called, bridegroom is coming, bridegroom is conducted, bridegroom is expected, bridegroom is led, bridegroom is made, bridegroom is obliged, bridegroom is represented, bridegroom is required, bridegroom is taken	*_ADJ [lemma]: expectant bridegroom, future bridegroom, happy bridegroom, heavenly bridegroom, intended bridegroom, new bridegroom, prospective bridegroom, royal bridegroom, young bridegroom, youthful bridegroom	[lemma] in the *: bridegroom in the act, bridegroom in the centre, bridegroom in the dungeon, bridegroom in the first, bridegroom in the market, bridegroom in the marriage, bridegroom in the morning, bridegroom in the nuptial, bridegroom in the presence, bridegroom in the wedding	*_NOUN [lemma]: Royal bridegroom, bachelor bridegroom, bonnie bridegroom, bonny bridegroom, boy bridegroom, peasant bridegroom, robber bridegroom, soldier bridegroom, spectre bridegroom, village bridegroom
n01622779	great grey owl	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n01622779	great gray owl	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n01622779	Strix nebulosa	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: Owl Strix nebulosa
n02966687	carpenter  s kit	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02966687	tool kit	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: analytical tool kit, basic tool kit, complete tool kit, conceptual tool kit, new tool kit, own tool kit, simple tool kit, small tool kit, standard tool kit, whole tool kit	[lemma] in the *: 	*_NOUN [lemma]: development tool kit, emergency tool kit, home tool kit, household tool kit, interface tool kit, management tool kit, pocket tool kit, repair tool kit, software tool kit, stone tool kit
n01817953	African grey	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n01817953	African gray	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n01817953	Psittacus erithacus	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n03492542	hard disc	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: internal hard disc, large hard disc, local hard disc, magnetic hard disc, megabyte hard disc, removable hard disc	[lemma] in the *: 	*_NOUN [lemma]: MB hard disc, Winchester hard disc, computer hard disc, megabyte hard disc
n03492542	hard disk	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: entire hard disk, free hard disk, internal hard disk, large hard disk, local hard disk, megabyte hard disk, new hard disk, removable hard disk, second hard disk, single hard disk	[lemma] in the *: hard disk in the computer, hard disk in the directory, hard disk in the event, hard disk in the form, hard disk in the same, hard disk in the system	*_NOUN [lemma]: 10MB hard disk, 20MB hard disk, MB hard disk, Mb hard disk, SCSI hard disk, Winchester hard disk, capacity hard disk, computer hard disk, megabyte hard disk, server hard disk
n03492542	fixed disk	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Current fixed disk, current fixed disk, entire fixed disk, first fixed disk, internal fixed disk, large fixed disk, local fixed disk, megabyte fixed disk, second fixed disk, single fixed disk	[lemma] in the *: 	*_NOUN [lemma]: Current fixed disk, MB fixed disk, capacity fixed disk
n02277742	ringlet	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: black ringlet, dark ringlet, first ringlet, flaxen ringlet, glossy ringlet, golden ringlet, little ringlet, long ringlet, single ringlet, stray ringlet	[lemma] in the *: ringlet in the dust	*_NOUN [lemma]: mountain ringlet, stray ringlet
n02277742	ringlet butterfly	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: mountain ringlet butterfly
n02226429	grasshopper	[lemma] was *_VERB: grasshopper was attached, grasshopper was becoming, grasshopper was fluttering, grasshopper was placed	[lemma] is *_VERB: grasshopper is become, grasshopper is called, grasshopper is divided, grasshopper is found, grasshopper is heard, grasshopper is known, grasshopper is made, grasshopper is said, grasshopper is shown	*_ADJ [lemma]: common grasshopper, female grasshopper, golden grasshopper, green grasshopper, horned grasshopper, large grasshopper, legged grasshopper, little grasshopper, migratory grasshopper, young grasshopper	[lemma] in the *: grasshopper in the current, grasshopper in the fable, grasshopper in the field, grasshopper in the grass, grasshopper in the heat	*_NOUN [lemma]: Carolina grasshopper, Colorado grasshopper, Kansas grasshopper, Mountain grasshopper, baby grasshopper, lubber grasshopper, marsh grasshopper, meadow grasshopper, mother grasshopper, term grasshopper
n02226429	hopper	[lemma] was *_VERB: hopper was attached, hopper was built, hopper was constructed, hopper was filled, hopper was made, hopper was placed, hopper was used	[lemma] is *_VERB: hopper is closed, hopper is fed, hopper is filled, hopper is fitted, hopper is kept, hopper is made, hopper is placed, hopper is provided, hopper is shown, hopper is used	*_ADJ [lemma]: conical hopper, covered hopper, large hopper, legislative hopper, long hopper, second hopper, shaped hopper, short hopper, small hopper, wooden hopper	[lemma] in the *: hopper in the bottom, hopper in the centre, hopper in the form, hopper in the front, hopper in the little, hopper in the roof, hopper in the same, hopper in the top, hopper in the upper	*_NOUN [lemma]: ash hopper, coal hopper, feed hopper, feeding hopper, leaf hopper, mash hopper, seed hopper, steel hopper, storage hopper, track hopper
n04141975	scale	[lemma] was *_VERB: scale was adopted, scale was constructed, scale was developed, scale was devised, scale was established, scale was found, scale was introduced, scale was made, scale was turned, scale was used	[lemma] is *_VERB: scale is based, scale is called, scale is divided, scale is given, scale is graduated, scale is made, scale is marked, scale is placed, scale is shown, scale is used	*_ADJ [lemma]: extensive scale, grand scale, great scale, large scale, larger scale, national scale, same scale, small scale, smaller scale, social scale	[lemma] in the *: scale in the United, scale in the case, scale in the field, scale in the first, scale in the following, scale in the form, scale in the laboratory, scale in the manufacture, scale in the production, scale in the same	*_NOUN [lemma]: Fahrenheit scale, centigrade scale, log scale, mass scale, rating scale, salary scale, temperature scale, time scale, wage scale, world scale
n04141975	weighing machine	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: automatic weighing machine, delicate weighing machine, hydrostatic weighing machine, large weighing machine, ordinary weighing machine, other weighing machine, portable weighing machine, public weighing machine, simple weighing machine, such weighing machine	[lemma] in the *: 	*_NOUN [lemma]: patent weighing machine, penny weighing machine, platform weighing machine, slot weighing machine, spring weighing machine
n03673027	liner	[lemma] was *_VERB: liner was being, liner was built, liner was carrying, liner was coming, liner was placed, liner was steaming, liner was sunk, liner was taken, liner was torpedoed, liner was used	[lemma] is *_VERB: liner is fitted, liner is held, liner is inserted, liner is made, liner is placed, liner is pressed, liner is provided, liner is removed, liner is shown, liner is used	*_ADJ [lemma]: American liner, Atlantic liner, British liner, Cunard liner, French liner, German liner, big liner, great liner, ocean liner, transatlantic liner	[lemma] in the *: liner in the Atlantic, liner in the Mediterranean, liner in the North, liner in the Pacific, liner in the early, liner in the harbor, liner in the harbour, liner in the middle, liner in the same, liner in the world	*_NOUN [lemma]: O. liner, Star liner, air liner, cargo liner, cruise liner, cylinder liner, luxury liner, ocean liner, passenger liner, steel liner
n03673027	ocean liner	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: British ocean liner, big ocean liner, giant ocean liner, great ocean liner, huge ocean liner, large ocean liner, largest ocean liner, luxurious ocean liner, modern ocean liner, new ocean liner	[lemma] in the *: ocean liner in the middle, ocean liner in the world	*_NOUN [lemma]: 1930s ocean liner, Elizabeth ocean liner, Mary ocean liner, luxury ocean liner, passenger ocean liner, ton ocean liner
n04509417	unicycle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: foot unicycle, high unicycle, tall unicycle	[lemma] in the *: 	*_NOUN [lemma]: 
n04509417	monocycle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Gaussian monocycle	[lemma] in the *: 	*_NOUN [lemma]: 
n03447721	gong	[lemma] was *_VERB: gong was beaten, gong was being, gong was heard, gong was ringing, gong was rung, gong was sounded, gong was sounding, gong was struck, gong was suspended, gong was used	[lemma] is *_VERB: gong is beaten, gong is heard, gong is made, gong is placed, gong is rung, gong is sounded, gong is sounding, gong is struck, gong is suspended, gong is used	*_ADJ [lemma]: Chinese gong, big gong, bronze gong, first gong, great gong, large gong, noisy gong, second gong, small gong, wooden gong	[lemma] in the *: gong in the corridor, gong in the distance, gong in the engine, gong in the hall, gong in the hope, gong in the middle, gong in the same, gong in the ship, gong in the temple, gong in the village	*_NOUN [lemma]: alarm gong, brass gong, breakfast gong, dinner gong, fire gong, gamelan gong, iron gong, luncheon gong, silver gong, temple gong
n03447721	tam-tam	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n03888257	parachute	[lemma] was *_VERB: parachute was attached, parachute was deployed, parachute was dropped, parachute was ejected, parachute was fastened, parachute was invented, parachute was made, parachute was released, parachute was suspended, parachute was used	[lemma] is *_VERB: parachute is attached, parachute is deployed, parachute is designed, parachute is formed, parachute is made, parachute is opened, parachute is packed, parachute is released, parachute is required, parachute is used	*_ADJ [lemma]: American parachute, British parachute, German parachute, first parachute, golden parachute, large parachute, little parachute, main parachute, small parachute, white parachute	[lemma] in the *: parachute in the air, parachute in the event, parachute in the form, parachute in the middle, parachute in the tail, parachute in the water	*_NOUN [lemma]: drogue parachute, emergency parachute, enemy parachute, nylon parachute, pack parachute, paper parachute, pilot parachute, reserve parachute, silk parachute, type parachute
n03888257	chute	[lemma] was *_VERB: chute was blown, chute was built, chute was constructed, chute was deployed, chute was filled, chute was installed, chute was made, chute was opened, chute was placed, chute was used	[lemma] is *_VERB: chute is attached, chute is built, chute is filled, chute is made, chute is opened, chute is placed, chute is provided, chute is set, chute is shown, chute is used	*_ADJ [lemma]: inclined chute, la chute, little chute, long chute, main chute, metal chute, narrow chute, spiral chute, une chute, wooden chute	[lemma] in the *: chute in the Devil, chute in the back, chute in the basement, chute in the center, chute in the floor, chute in the hall, chute in the hallway, chute in the kitchen, chute in the middle, chute in the wall	*_NOUN [lemma]: La chute, clothes chute, coal chute, discharge chute, feed chute, laundry chute, loading chute, mail chute, ore chute, pilot chute
n03692522	loupe	[lemma] was *_VERB: 	[lemma] is *_VERB: loupe is used	*_ADJ [lemma]: Binocular loupe, binocular loupe, corneal loupe, good loupe, la loupe, monocular loupe, ophthalmic loupe, power loupe, simple loupe, une loupe	[lemma] in the *: 	*_NOUN [lemma]: 10X loupe, Guada loupe, Guade loupe, eye loupe, hand loupe, head loupe, magnification loupe, magnifying loupe, power loupe, x loupe
n03692522	jeweler  s loupe	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n04350905	suit	[lemma] was *_VERB: suit was begun, suit was brought, suit was commenced, suit was decided, suit was dismissed, suit was filed, suit was instituted, suit was made, suit was pending, suit was rejected	[lemma] is *_VERB: suit is barred, suit is based, suit is brought, suit is commenced, suit is depending, suit is filed, suit is founded, suit is instituted, suit is made, suit is pending	*_ADJ [lemma]: best suit, black suit, blue suit, civil suit, complete suit, gray suit, humble suit, new suit, same suit, such suit	[lemma] in the *: suit in the Court, suit in the District, suit in the Supreme, suit in the United, suit in the court, suit in the courts, suit in the ecclesiastical, suit in the federal, suit in the name, suit in the spiritual	*_NOUN [lemma]: Chancery suit, Sunday suit, bathing suit, business suit, divorce suit, dress suit, foreclosure suit, law suit, libel suit, tweed suit
n04350905	suit of clothes	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n09468604	valley	[lemma] was *_VERB: valley was called, valley was closed, valley was covered, valley was cut, valley was filled, valley was flooded, valley was formed, valley was made, valley was occupied, valley was reached	[lemma] is *_VERB: valley is bounded, valley is called, valley is covered, valley is divided, valley is filled, valley is formed, valley is occupied, valley is seen, valley is surrounded, valley is watered	*_ADJ [lemma]: Nile valley, beautiful valley, broad valley, deep valley, fertile valley, great valley, little valley, narrow valley, upper valley, whole valley	[lemma] in the *: valley in the direction, valley in the heart, valley in the land, valley in the middle, valley in the midst, valley in the mountains, valley in the north, valley in the south, valley in the vicinity, valley in the world	*_NOUN [lemma]: Connecticut valley, Jordan valley, Mississippi valley, Mohawk valley, Ohio valley, Rhone valley, River valley, mountain valley, rift valley, river valley
n09468604	vale	[lemma] was *_VERB: vale was covered, vale was engirdled, vale was filled, vale was heard, vale was wrapped	[lemma] is *_VERB: vale is bounded, vale is called, vale is closed, vale is covered, vale is filled, vale is girdled, vale is seen, vale is sinking, vale is spread, vale is watered	*_ADJ [lemma]: beautiful vale, deep vale, fertile vale, little vale, lovely vale, narrow vale, pleasant vale, rich vale, sequestered vale, whole vale	[lemma] in the *: vale in the Indian, vale in the Scottish, vale in the land, vale in the midst, vale in the north, vale in the park, vale in the quiet, vale in the solitary	*_NOUN [lemma]: Maria vale, Mary vale, Mas vale, Men vale, Meri vale, blossom&#39;d vale, clay vale, level vale, mountain vale, upland vale
n03325584	feather boa	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: black feather boa, blue feather boa, fluffy feather boa, long feather boa, old feather boa, ostrich feather boa, pink feather boa, purple feather boa, red feather boa, white feather boa	[lemma] in the *: 	*_NOUN [lemma]: 
n03325584	boa	[lemma] was *_VERB: 	[lemma] is *_VERB: boa is found	*_ADJ [lemma]: de boa, enormous boa, foot boa, gigantic boa, gorged boa, great boa, huge boa, large boa, small boa, young boa	[lemma] in the *: 	*_NOUN [lemma]: Gam boa, Gil boa, Stomias boa, feather boa, fur boa, rubber boa, sand boa, tree boa, vegetable boa, water boa
n02939185	caldron	[lemma] was *_VERB: caldron was boiling	[lemma] is *_VERB: caldron is boiling	*_ADJ [lemma]: boiling caldron, brazen caldron, great caldron, huge caldron, immense caldron, large caldron, mighty caldron, political caldron, seething caldron, vast caldron	[lemma] in the *: caldron in the water	*_NOUN [lemma]: boiling caldron, brass caldron, bubbling caldron, copper caldron, iron caldron, seething caldron, silver caldron, smoking caldron, soup caldron, steaming caldron
n02939185	cauldron	[lemma] was *_VERB: cauldron was boiling, cauldron was brought, cauldron was carried, cauldron was filled, cauldron was found, cauldron was placed, cauldron was seething, cauldron was set, cauldron was suspended, cauldron was threatening	[lemma] is *_VERB: cauldron is associated, cauldron is boiling, cauldron is bubbling, cauldron is filled, cauldron is heated, cauldron is made, cauldron is placed, cauldron is said, cauldron is used	*_ADJ [lemma]: boiling cauldron, bronze cauldron, great cauldron, huge cauldron, immense cauldron, large cauldron, magic cauldron, political cauldron, seething cauldron, vast cauldron	[lemma] in the *: cauldron in the center, cauldron in the centre, cauldron in the kitchen, cauldron in the middle	*_NOUN [lemma]: Gundestrup cauldron, boiling cauldron, brass cauldron, bubbling cauldron, copper cauldron, iron cauldron, seething cauldron, silver cauldron, smoking cauldron, steaming cauldron
n01693334	green lizard	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: European green lizard, beautiful green lizard, bright green lizard, common green lizard, great green lizard, huge green lizard, large green lizard, little green lizard, pretty green lizard, small green lizard	[lemma] in the *: 	*_NOUN [lemma]: 
n01693334	Lacerta viridis	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: lizard Lacerta viridis
n01532829	house finch	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: common house finch, female house finch, male house finch	[lemma] in the *: 	*_NOUN [lemma]: 
n01532829	linnet	[lemma] was *_VERB: linnet was singing, linnet was trilling	[lemma] is *_VERB: linnet is singing	*_ADJ [lemma]: brown linnet, caged linnet, captive linnet, common linnet, dead linnet, green linnet, grey linnet, little linnet, poor linnet, young linnet	[lemma] in the *: linnet in the Spring, linnet in the bush, linnet in the rocky	*_NOUN [lemma]: California linnet, cock linnet, hen linnet, mountain linnet, woodland linnet
n01532829	Carpodacus mexicanus	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: FINCH Carpodacus mexicanus, Finch Carpodacus mexicanus
n03131574	crib	[lemma] was *_VERB: crib was built, crib was constructed, crib was filled, crib was made, crib was moved, crib was placed, crib was put, crib was set, crib was sunk, crib was used	[lemma] is *_VERB: crib is built, crib is constructed, crib is filled, crib is laid, crib is made, crib is moved, crib is placed, crib is shown, crib is sunk, crib is used	*_ADJ [lemma]: empty crib, little crib, narrow crib, old crib, open crib, own crib, public crib, same crib, small crib, wooden crib	[lemma] in the *: crib in the barn, crib in the bedroom, crib in the church, crib in the corner, crib in the middle, crib in the next, crib in the nursery, crib in the room, crib in the same, crib in the spring	*_NOUN [lemma]: Christmas crib, Timber crib, baby crib, corn crib, intake crib, iron crib, log crib, timber crib, tool crib, wood crib
n03131574	cot	[lemma] was *_VERB: cot was brought, cot was covered, cot was found, cot was hung, cot was made, cot was placed, cot was put, cot was set, cot was slung, cot was swung	[lemma] is *_VERB: cot is applied, cot is called, cot is carried, cot is covered, cot is given, cot is made, cot is placed, cot is provided, cot is raised, cot is used	*_ADJ [lemma]: folding cot, humble cot, little cot, lonely cot, lowly cot, narrow cot, next cot, own cot, small cot, white cot	[lemma] in the *: cot in the back, cot in the corner, cot in the hospital, cot in the kitchen, cot in the little, cot in the living, cot in the middle, cot in the office, cot in the room, cot in the same	*_NOUN [lemma]: army cot, camp cot, canvas cot, cos cot, dove cot, finger cot, hospital cot, iron cot, log cot, sin cot
n07718747	artichoke	[lemma] was *_VERB: 	[lemma] is *_VERB: artichoke is cooked, artichoke is done, artichoke is grown, artichoke is used	*_ADJ [lemma]: Chinese artichoke, French artichoke, common artichoke, fresh artichoke, great artichoke, green artichoke, large artichoke, true artichoke, whole artichoke, wild artichoke	[lemma] in the *: 	*_NOUN [lemma]: Cook artichoke, Globe artichoke, Jerusalem artichoke, cans artichoke, cup artichoke, garden artichoke, globe artichoke, name artichoke, sunflower artichoke, word artichoke
n07718747	globe artichoke	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n07753275	pineapple	[lemma] was *_VERB: pineapple was introduced, pineapple was used	[lemma] is *_VERB: pineapple is added, pineapple is being, pineapple is called, pineapple is grown, pineapple is heated, pineapple is produced, pineapple is used	*_ADJ [lemma]: Canned pineapple, Hawaiian pineapple, crushed pineapple, fresh pineapple, grated pineapple, large pineapple, ripe pineapple, sliced pineapple, unsweetened pineapple, wild pineapple	[lemma] in the *: pineapple in the bottom, pineapple in the center, pineapple in the middle, pineapple in the other, pineapple in the world	*_NOUN [lemma]: Cut pineapple, Dole pineapple, Drain pineapple, Place pineapple, canned pineapple, cup pineapple, cups pineapple, slice pineapple, slices pineapple, tablespoons pineapple
