"relevance"	"synsetid"	"queryexpansion"
0.144193687	"n02641379"	"longnose gar"
0.1183916145	"n02641379"	"sea garfish"
0.1095180863	"n02641379"	"Alligator gar"
0.1095180863	"n02641379"	"alligator gar"
0.0981757301	"n02641379"	"small gar"
0.0981757301	"n02641379"	"small garfish"
0.0930797339	"n02641379"	"other gar"
0.0930797339	"n02641379"	"other billfish"
0.091747236	"n02641379"	"large gar"
0.091747236	"n02641379"	"large billfish"
0.091747236	"n02641379"	"large garfish"
0.0907978639	"n02641379"	"little gar"
0.0864989959	"n02641379"	"white gar"
0.0825363573	"n02641379"	"gar is found"
0.0780037696	"n02641379"	"vul gar"
0.077943434	"n02641379"	"man gar"
0.0779290295	"n02641379"	"big billfish"
0.0754605715	"n02641379"	"giant billfish"
0.0741072578	"n02641379"	"beautiful gar"
0.0722455362	"n02641379"	"nosed gar"
0.0722455362	"n02641379"	"nosed garfish"
0.0649137839	"n02641379"	"wind gar"
0.0626586144	"n02641379"	"first billfish"
0.0623616109	"n02641379"	"French gar"
0.0552640856	"n02641379"	"es gar"
0.0543538867	"n02641379"	"hat gar"
0.0538385316	"n02641379"	"wad gar"
0.0531125103	"n02641379"	"war gar"
0.0510021663	"n02641379"	"largest billfish"
0.0436012689	"n02641379"	"annual billfish"
0.0417275796	"n02641379"	"wedding gar"
0	"n02641379"	"gar Lepisosteus osseus"
0	"n02641379"	
0.1596626111	"n02643566"	"poisonous lionfish"
0.1006897454	"n02643566"	"beautiful lionfish"
0.0990526899	"n02643566"	"dwarf lionfish"
0.1128259738	"n02655020"	"little blowfish"
0.1128259738	"n02655020"	"little puffer"
0.0939322445	"n02655020"	"poisonous blowfish"
0.0939322445	"n02655020"	"poisonous pufferfish"
0.0899226526	"n02655020"	"spiny blowfish"
0.0899226526	"n02655020"	"spiny puffer"
0.0899226526	"n02655020"	"spiny pufferfish"
0.0893471882	"n02655020"	"single puffer"
0.0888338177	"n02655020"	"mere puffer"
0.0834040802	"n02655020"	"tiger puffer"
0.0728751266	"n02655020"	"northern puffer"
0.0694482003	"n02655020"	"black puffer"
0.0598547568	"n02655020"	"pink puffer"
0.0598547568	"n02655020"	"Pink puffer"
0.0425953891	"n02655020"	"smooth puffer"
0.0418837003	"n02655020"	"nosed puffer"
0.0412739056	"n02655020"	"Japanese blowfish"
0.0412739056	"n02655020"	"Japanese puffer"
0.0412739056	"n02655020"	"Japanese pufferfish"
0.0320948084	"n02655020"	"spotted pufferfish"
0	"n02655020"	
0	"n02655020"	"sharpnose puffer"
0	"n02655020"	"SF6 puffer"
0.1322301656	"n02666196"	"simple abacus"
0.1307582411	"n02666196"	"abacus is used"
0.1156887735	"n02666196"	"abacus was used"
0.1043759671	"n02666196"	"plain abacus"
0.0978550186	"n02666196"	"bead abacus"
0.0953894989	"n02666196"	"abacus is called"
0.0943039015	"n02666196"	"abacus is superseded"
0.091089866	"n02666196"	"abacus was invented"
0.0910423972	"n02666196"	"Index abacus"
0.0891604335	"n02666196"	"word abacus"
0.0848243348	"n02666196"	"abacus is made"
0.0837219191	"n02666196"	"circular abacus"
0.0825232975	"n02666196"	"abacus in the Corinthian"
0.0825232975	"n02666196"	"abacus in the Doric"
0.080833741	"n02666196"	"abacus was developed"
0.0789954752	"n02666196"	"abacus is carved"
0.0772395158	"n02666196"	"abacus is shown"
0.0760313728	"n02666196"	"abacus is formed"
0.0712589715	"n02666196"	"abacus is decorated"
0.0707655945	"n02666196"	"line abacus"
0.0705749761	"n02666196"	"hand abacus"
0.0699176127	"n02666196"	"abacus is adorned"
0.0689575876	"n02666196"	"abacus was introduced"
0.0682043909	"n02666196"	"dust abacus"
0.0673261169	"n02666196"	"octagonal abacus"
0.0629598935	"n02666196"	"Roman abacus"
0.0625307823	"n02666196"	"abacus is united"
0.0585575758	"n02666196"	"square abacus"
0.0585575758	"n02666196"	"square abacus"
0.0542323734	"n02666196"	"Chinese abacus"
0.0536917626	"n02666196"	"term abacus"
0.0479906112	"n02666196"	"Japanese abacus"
0.0453249509	"n02666196"	"Norman abacus"
0.03935115	"n02666196"	"round abacus"
0	"n02666196"	"moulded abacus"
0	"n02666196"	"Sarnath abacus"
0.1924537407	"n02667093"	"black abaya"
0.1128453081	"n02667093"	"traditional abaya"
0.1356085758	"n02669723"	"black academic gown"
0.1292794183	"n02669723"	"scarlet academic gown"
0.1241211657	"n02669723"	"black academic robe"
0.1234925354	"n02669723"	"red academic gown"
0	"n02669723"	
0.1935178737	"n02672831"	"piano accordion"
0.1935178737	"n02672831"	"piano accordion"
0.159477734	"n02672831"	"keyboard accordion"
0.1265713576	"n02672831"	"bass accordion"
0.0945668672	"n02672831"	"small accordion"
0.0916844158	"n02672831"	"button accordion"
0.0909560537	"n02672831"	"wheezy accordion"
0.0893430182	"n02672831"	"hand accordion"
0.0832030823	"n02672831"	"large accordion"
0.0785673844	"n02672831"	"little accordion"
0.0779934182	"n02672831"	"accordion in the usual"
0.0768581674	"n02672831"	"steel accordion"
0.076443646	"n02672831"	"toy accordion"
0.0762331187	"n02672831"	"accordion was playing"
0.0756607773	"n02672831"	"accordion in the air"
0.0752952469	"n02672831"	"accordion is playing"
0.0741418932	"n02672831"	"old accordion"
0.0731607074	"n02672831"	"modern accordion"
0.0689914564	"n02672831"	"accordion was played"
0.0683655608	"n02672831"	"accordion is used"
0.0680535846	"n02672831"	"accordion is played"
0.066048292	"n02672831"	"accordion was invented"
0.063968666	"n02672831"	"new accordion"
0.0630451106	"n02672831"	"accordion was being"
0.0621072387	"n02672831"	"accordion is being"
0.0618342768	"n02672831"	"paper accordion"
0.0613857708	"n02672831"	"accordion was heard"
0.060447899	"n02672831"	"accordion is heard"
0.0596654605	"n02672831"	"old squeeze box"
0.0592490092	"n02672831"	"accordion was brought"
0.0563488916	"n02672831"	"German accordion"
0.053725263	"n02672831"	"good accordion"
0.052356466	"n02672831"	"accordion was seen"
0.0464321455	"n02672831"	"accordion was introduced"
0.0409878111	"n02672831"	"accordion was held"
0.0375118565	"n02672831"	"row accordion"
0	"n02672831"	
0	"n02672831"	"Hohner accordion"
0.1709876605	"n02676566"	"style acoustic guitar"
0.1660329913	"n02676566"	"single acoustic guitar"
0.1614431648	"n02676566"	"electric acoustic guitar"
0.1604479848	"n02676566"	"own acoustic guitar"
0.159453672	"n02676566"	"strummed acoustic guitar"
0.1593977924	"n02676566"	"solo acoustic guitar"
0.1586413587	"n02676566"	"good acoustic guitar"
0.155431174	"n02676566"	"Gibson acoustic guitar"
0.1533461027	"n02676566"	"traditional acoustic guitar"
0.1528736089	"n02676566"	"string acoustic guitar"
0.1487600963	"n02676566"	"old acoustic guitar"
0.139018833	"n02676566"	"Martin acoustic guitar"
0.1386923598	"n02676566"	"top acoustic guitar"
0.2354279633	"n02687172"	"aircraft carrier"
0.2292879253	"n02687172"	"Navy aircraft carrier"
0.2043219152	"n02687172"	"fleet aircraft carrier"
0.1858220623	"n02687172"	"enemy aircraft carrier"
0.1826951321	"n02687172"	"nuclear aircraft carrier"
0.1793260992	"n02687172"	"unsinkable aircraft carrier"
0.1777274075	"n02687172"	"ton aircraft carrier"
0.1777274075	"n02687172"	"ton aircraft carrier"
0.16465895	"n02687172"	"attack aircraft carrier"
0.1632897965	"n02687172"	"first aircraft carrier"
0.1611316501	"n02687172"	"escort aircraft carrier"
0.1569648526	"n02687172"	"class aircraft carrier"
0.1545122089	"n02687172"	"powered aircraft carrier"
0.1540459682	"n02687172"	"new aircraft carrier"
0.1523686335	"n02687172"	"small aircraft carrier"
0.1436761851	"n02687172"	"S. aircraft carrier"
0.1416252331	"n02687172"	"British aircraft carrier"
0.1412054325	"n02687172"	"States aircraft carrier"
0.1404624287	"n02687172"	"aircraft carrier in the Bay"
0.1362161613	"n02687172"	"enemy flattop"
0.1356695208	"n02687172"	"Japanese aircraft carrier"
0.1325006929	"n02687172"	"aircraft carrier in the Gulf"
0.1305123758	"n02687172"	"American aircraft carrier"
0.130280426	"n02687172"	"ocean carrier"
0.1301028014	"n02687172"	"aircraft carrier in the Pacific"
0.1295893031	"n02687172"	"air carrier"
0.129497654	"n02687172"	"aircraft carrier in the Atlantic"
0.1293001217	"n02687172"	"aircraft carrier in the South"
0.1286062816	"n02687172"	"aircraft carrier in the world"
0.1275249255	"n02687172"	"aircraft carrier in the Mediterranean"
0.1265001348	"n02687172"	"aircraft carrier in the middle"
0.1227229836	"n02687172"	"aircraft carrier in the Indian"
0.1177139816	"n02687172"	"U.S. aircraft carrier"
0.1111085404	"n02687172"	"carrier in the navigation"
0.1088252636	"n02687172"	"carrier was sunk"
0.0993242504	"n02687172"	"carrier in the case"
0.0980556611	"n02687172"	"carrier in the course"
0.0971215654	"n02687172"	"carrier in the country"
0.0949944141	"n02687172"	"carrier in the Pacific"
0.0948935438	"n02687172"	"carrier in the same"
0.0937527324	"n02687172"	"carrier in the transportation"
0.0929990544	"n02687172"	"carrier in the world"
0.091836047	"n02687172"	"carrier in the form"
0.0911516297	"n02687172"	"first carrier"
0.0910561376	"n02687172"	"aircraft carrier in the U.S."
0.0879100235	"n02687172"	"carrier in the United"
0.0868751694	"n02687172"	"carrier is used"
0.08601881	"n02687172"	"carrier was used"
0.081217528	"n02687172"	"carrier is bound"
0.0806083521	"n02687172"	"carrier was added"
0.0803611687	"n02687172"	"carrier was bound"
0.0801727844	"n02687172"	"carrier is authorized"
0.0798806618	"n02687172"	"carrier is required"
0.0790243024	"n02687172"	"carrier was required"
0.0782920255	"n02687172"	"carrier is engaged"
0.0768837696	"n02687172"	"motor carrier"
0.0756094367	"n02687172"	"carrier is held"
0.0747530774	"n02687172"	"carrier was held"
0.0734960238	"n02687172"	"carrier was found"
0.072939971	"n02687172"	"carrier is made"
0.0726639731	"n02687172"	"new flattop"
0.0720836117	"n02687172"	"carrier was made"
0.070979823	"n02687172"	"carrier was touched"
0.0693093036	"n02687172"	"small flattop"
0.068375056	"n02687172"	"carrier is obliged"
0.0683437633	"n02687172"	"large flattop"
0.0678209739	"n02687172"	"largest flattop"
0.0639961131	"n02687172"	"water carrier"
0.0639414976	"n02687172"	"initial carrier"
0.062630611	"n02687172"	"other carrier"
0.0618945435	"n02687172"	"carrier is entitled"
0.0617860579	"n02687172"	"such carrier"
0.0610381842	"n02687172"	"carrier was entitled"
0.0601255006	"n02687172"	"big flattop"
0.0598082155	"n02687172"	"carrier is modulated"
0.0569651088	"n02687172"	"private carrier"
0.0547803024	"n02687172"	"baby flattop"
0.0544630197	"n02687172"	"gray flattop"
0.0536749906	"n02687172"	"public carrier"
0.0513679073	"n02687172"	"mail carrier"
0.0508911414	"n02687172"	"ball carrier"
0.049349744	"n02687172"	"common carrier"
0.0450410401	"n02687172"	"unmodulated carrier"
0.0438986893	"n02687172"	"insurance carrier"
0.0424444325	"n02687172"	"contract carrier"
0.0403748096	"n02687172"	"old flattop"
0.0369669844	"n02687172"	"blond flattop"
0.0359110782	"n02687172"	"Japanese flattop"
0.0317563834	"n02687172"	"letter carrier"
0.0255967883	"n02687172"	"American flattop"
0.0231240581	"n02687172"	"modulated carrier"
0.0221326121	"n02687172"	"minority carrier"
0	"n02687172"	
0.2128245289	"n02690373"	"passenger airliner"
0.1936589276	"n02690373"	"jet airliner"
0.164353457	"n02690373"	"commercial airliner"
0.1564713537	"n02690373"	"turboprop airliner"
0.1314992823	"n02690373"	"airliner is flying"
0.1293536021	"n02690373"	"airliner was flying"
0.1256832446	"n02690373"	"supersonic airliner"
0.1195834912	"n02690373"	"airliner is hijacked"
0.1174378109	"n02690373"	"airliner was hijacked"
0.1135978765	"n02690373"	"civilian airliner"
0.1125114954	"n02690373"	"airliner in the sky"
0.1088756725	"n02690373"	"airliner in the world"
0.1078270976	"n02690373"	"engined airliner"
0.1037313085	"n02690373"	"Concorde airliner"
0.1026109369	"n02690373"	"airliner was being"
0.1001688577	"n02690373"	"airliner is designed"
0.0986368208	"n02690373"	"luxury airliner"
0.0964012422	"n02690373"	"airliner in the United"
0.0930597843	"n02690373"	"airliner was taken"
0.0921494713	"n02690373"	"first airliner"
0.0906489379	"n02690373"	"modern airliner"
0.0903589773	"n02690373"	"civil airliner"
0.0886887561	"n02690373"	"new airliner"
0.0882143354	"n02690373"	"airliner was bombed"
0.0860961745	"n02690373"	"airliner in the Persian"
0.083735853	"n02690373"	"airliner was blown"
0.0826954828	"n02690373"	"airliner was destroyed"
0.0793962528	"n02690373"	"airliner is shot"
0.0788880108	"n02690373"	"airliner was forced"
0.0772645377	"n02690373"	"airliner was attacked"
0.0772505725	"n02690373"	"airliner was shot"
0.0322042571	"n02690373"	"American airliner"
0.0265998768	"n02690373"	"Douglas airliner"
0.0209785778	"n02690373"	"Al airliner"
0.0131276458	"n02690373"	"Viscount airliner"
0.0128855491	"n02690373"	"TWA airliner"
0.0062806206	"n02690373"	"Korean airliner"
0	"n02690373"	"Lufthansa airliner"
0.148358397	"n02692877"	"type dirigible"
0.148358397	"n02692877"	"type airship"
0.1262713738	"n02692877"	"airship in the air"
0.1259111895	"n02692877"	"balloon dirigible"
0.1243622242	"n02692877"	"Zeppelin dirigible"
0.1243622242	"n02692877"	"Zeppelin airship"
0.1217975394	"n02692877"	"airship is flying"
0.1147105851	"n02692877"	"dirigible in the sky"
0.1147105851	"n02692877"	"airship in the sky"
0.1127757051	"n02692877"	"military dirigible"
0.1116031582	"n02692877"	"airship was flying"
0.1113089069	"n02692877"	"airship is being"
0.1048576661	"n02692877"	"dirigible in the world"
0.1048576661	"n02692877"	"airship in the world"
0.1029216488	"n02692877"	"airship is attached"
0.1011145257	"n02692877"	"airship was being"
0.0963049219	"n02692877"	"naval airship"
0.09452735	"n02692877"	"dirigible is made"
0.09452735	"n02692877"	"airship is made"
0.0940745176	"n02692877"	"enemy airship"
0.0894005183	"n02692877"	"Navy dirigible"
0.0894005183	"n02692877"	"Navy airship"
0.0886020313	"n02692877"	"dirigible was built"
0.0886020313	"n02692877"	"airship was built"
0.0879330429	"n02692877"	"airship was designed"
0.0874977667	"n02692877"	"small dirigible"
0.0855290247	"n02692877"	"new dirigible"
0.0855290247	"n02692877"	"new airship"
0.0850026572	"n02692877"	"airship was constructed"
0.0843329687	"n02692877"	"dirigible was made"
0.0843329687	"n02692877"	"airship was made"
0.0815210447	"n02692877"	"airship was seen"
0.0812956779	"n02692877"	"passenger dirigible"
0.0812956779	"n02692877"	"passenger airship"
0.0811572344	"n02692877"	"large dirigible"
0.0811572344	"n02692877"	"large airship"
0.0761448247	"n02692877"	"airship was brought"
0.0748345974	"n02692877"	"airship is hauled"
0.0733102721	"n02692877"	"model dirigible"
0.0733102721	"n02692877"	"model airship"
0.0720818761	"n02692877"	"big airship"
0.0719228611	"n02692877"	"airship was completed"
0.0715649831	"n02692877"	"rigid dirigible"
0.0715649831	"n02692877"	"rigid airship"
0.0707297736	"n02692877"	"airship was wrecked"
0.0677950963	"n02692877"	"first dirigible"
0.0677950963	"n02692877"	"first airship"
0.0666034128	"n02692877"	"army dirigible"
0.0666034128	"n02692877"	"Army dirigible"
0.0666034128	"n02692877"	"Army airship"
0.0666034128	"n02692877"	"army airship"
0.0665635659	"n02692877"	"great dirigible"
0.0665635659	"n02692877"	"great airship"
0.0657370764	"n02692877"	"giant dirigible"
0.0508140737	"n02692877"	"States dirigible"
0.0467846403	"n02692877"	"British dirigible"
0.0467846403	"n02692877"	"British airship"
0.0427460994	"n02692877"	"German dirigible"
0.0427460994	"n02692877"	"German airship"
0	"n02692877"	"Hindenburg dirigible"
0	"n02692877"	"dirigible airship"
0	"n02692877"	"Wellman airship"
0	"n02692877"	"Parseval airship"
0.1372394802	"n02699494"	"altar is made"
0.1307346843	"n02699494"	"altar in the temple"
0.1307346843	"n02699494"	"altar in the Temple"
0.130511897	"n02699494"	"altar in the same"
0.1296841982	"n02699494"	"altar in the Church"
0.1296841982	"n02699494"	"altar in the church"
0.127727045	"n02699494"	"altar was made"
0.1258483121	"n02699494"	"altar in the chapel"
0.1233856438	"n02699494"	"altar is raised"
0.1222973901	"n02699494"	"altar in the middle"
0.1206021267	"n02699494"	"altar in the cathedral"
0.1202284225	"n02699494"	"altar in the midst"
0.1138732086	"n02699494"	"altar was raised"
0.1072675816	"n02699494"	"altar is covered"
0.1055607937	"n02699494"	"sacred altar"
0.100304474	"n02699494"	"altar is placed"
0.1002032727	"n02699494"	"altar in the centre"
0.0977551464	"n02699494"	"altar was covered"
0.0968659311	"n02699494"	"altar is built"
0.0955472265	"n02699494"	"altar is supported"
0.0946443298	"n02699494"	"altar was set"
0.0940267077	"n02699494"	"altar is erected"
0.0916673322	"n02699494"	"family altar"
0.0911541766	"n02699494"	"small altar"
0.0909258731	"n02699494"	"same altar"
0.0907920388	"n02699494"	"altar was placed"
0.0904789191	"n02699494"	"altar is adorned"
0.0895020564	"n02699494"	"altar was dedicated"
0.089029808	"n02699494"	"altar is decorated"
0.0884427767	"n02699494"	"church altar"
0.0875534152	"n02699494"	"altar is composed"
0.0873534959	"n02699494"	"altar was built"
0.0864780749	"n02699494"	"large altar"
0.0845142725	"n02699494"	"altar was erected"
0.0840770212	"n02699494"	"altar was found"
0.0827061122	"n02699494"	"stone altar"
0.0819633452	"n02699494"	"holy altar"
0.0809664839	"n02699494"	"altar was adorned"
0.0782000849	"n02699494"	"great altar"
0.07648261	"n02699494"	"household altar"
0.0760974716	"n02699494"	"side altar"
0.0751230508	"n02699494"	"golden altar"
0.0731168148	"n02699494"	"high altar"
0.0708229265	"n02699494"	"grand altar"
0.0655058595	"n02699494"	"marble altar"
0.062608823	"n02699494"	"fire altar"
0.0615020813	"n02699494"	"incense altar"
0.0600961661	"n02699494"	"word altar"
0.0545733683	"n02699494"	"main altar"
0.0481875105	"n02699494"	"marriage altar"
0.162023959	"n02701002"	"hospital ambulance"
0.1416060889	"n02701002"	"ambulance in the city"
0.1402164348	"n02701002"	"emergency ambulance"
0.139195203	"n02701002"	"ambulance in the first"
0.1381768818	"n02701002"	"ambulance in the street"
0.1366227834	"n02701002"	"ambulance in the middle"
0.1346247696	"n02701002"	"ambulance in the morning"
0.1333939585	"n02701002"	"ambulance in the driveway"
0.1327463617	"n02701002"	"ambulance in the distance"
0.1311102784	"n02701002"	"ambulance in the rear"
0.1308339428	"n02701002"	"ambulance in the war"
0.1270152515	"n02701002"	"ambulance is going"
0.1235346856	"n02701002"	"ambulance is needed"
0.1226039241	"n02701002"	"ambulance in the yard"
0.1194230125	"n02701002"	"police ambulance"
0.1169281982	"n02701002"	"ambulance was waiting"
0.1155669738	"n02701002"	"ambulance is waiting"
0.1139028374	"n02701002"	"private ambulance"
0.1096197683	"n02701002"	"ambulance was coming"
0.1082585438	"n02701002"	"ambulance is coming"
0.1080512805	"n02701002"	"ambulance is used"
0.1075282769	"n02701002"	"ambulance was parked"
0.1047345838	"n02701002"	"motor ambulance"
0.1013548568	"n02701002"	"own ambulance"
0.1007896159	"n02701002"	"ambulance was driven"
0.0990845772	"n02701002"	"volunteer ambulance"
0.0985372505	"n02701002"	"ambulance was standing"
0.0965392015	"n02701002"	"military ambulance"
0.0962142516	"n02701002"	"ambulance is heard"
0.0959307417	"n02701002"	"ambulance was sent"
0.0952616202	"n02701002"	"ambulance was called"
0.0945695172	"n02701002"	"ambulance is sent"
0.0939003957	"n02701002"	"ambulance is called"
0.0924445219	"n02701002"	"ambulance was ordered"
0.0909919656	"n02701002"	"first ambulance"
0.0907782407	"n02701002"	"ambulance was brought"
0.0902032531	"n02701002"	"ambulance is kept"
0.0892774639	"n02701002"	"horse ambulance"
0.0877881121	"n02701002"	"ambulance was summoned"
0.0864268876	"n02701002"	"ambulance is summoned"
0.0834357139	"n02701002"	"air ambulance"
0.0831892106	"n02701002"	"new ambulance"
0.0726407393	"n02701002"	"army ambulance"
0.0675134753	"n02701002"	"field ambulance"
0.0587060799	"n02701002"	"white ambulance"
0.0552634607	"n02701002"	"Cross ambulance"
0.0467278218	"n02701002"	"American ambulance"
0.0292744122	"n02701002"	"English ambulance"
0.0271163958	"n02701002"	"German ambulance"
0.0209574681	"n02701002"	"French ambulance"
0.1340214331	"n02704792"	"amphibian in the world"
0.1323415959	"n02704792"	"other amphibian"
0.1036103924	"n02704792"	"armored amphibious vehicle"
0.0992739608	"n02704792"	"amphibian is known"
0.0909934083	"n02704792"	"early amphibian"
0.0830199409	"n02704792"	"first amphibian"
0.0755667319	"n02704792"	"primitive amphibian"
0.0705979286	"n02704792"	"young amphibian"
0.0682884738	"n02704792"	"adult amphibian"
0.0682884738	"n02704792"	"adult amphibian"
0.0600702894	"n02704792"	"breathing amphibian"
0.0592864722	"n02704792"	"word amphibian"
0.0510008388	"n02704792"	"Navy amphibian"
0.03994572	"n02704792"	"engineer amphibian"
0.0387296051	"n02704792"	"embryonic amphibian"
0.0373055655	"n02704792"	"Guard amphibian"
0.0363359905	"n02704792"	"larval amphibian"
0.0344183853	"n02704792"	"monoplane amphibian"
0.0331110746	"n02704792"	"tailed amphibian"
0	"n02704792"	"urodele amphibian"
0	"n02704792"	"Seabee amphibian"
0	"n02704792"	"Grumman amphibian"
0	"n02704792"	"Catalina amphibian"
0	"n02708093"	
0.1106441305	"n02727426"	"home apiary"
0.1031613816	"n02727426"	"other apiary"
0.0992568255	"n02727426"	"own apiary"
0.0987876759	"n02727426"	"house apiary"
0.0898199074	"n02727426"	"apiary is located"
0.0875368967	"n02727426"	"apiary is situated"
0.0859895918	"n02727426"	"small apiary"
0.084207755	"n02727426"	"large apiary"
0.0810755867	"n02727426"	"whole apiary"
0.0784687721	"n02727426"	"apiary is redolent"
0.0769632437	"n02727426"	"same apiary"
0.0656662484	"n02727426"	"new apiary"
0.0595964975	"n02727426"	"state apiary"
0.055780571	"n02727426"	"entire apiary"
0.0358612128	"n02727426"	"extensive apiary"
0.0104338373	"n02727426"	"model apiary"
0	"n02727426"	"neighbouring apiary"
0	"n02727426"	
0.2087265759	"n02730930"	"leather apron"
0.2087265759	"n02730930"	"leather apron"
0.1995098164	"n02730930"	"silk apron"
0.1932489455	"n02730930"	"muslin apron"
0.1717746946	"n02730930"	"rubber apron"
0.1710429385	"n02730930"	"apron in the front"
0.1692113456	"n02730930"	"linen apron"
0.1678979456	"n02730930"	"apron in the same"
0.1665462347	"n02730930"	"apron in the doorway"
0.1619110319	"n02730930"	"apron in the kitchen"
0.1610628846	"n02730930"	"apron in the back"
0.1602195873	"n02730930"	"apron in the place"
0.1575959471	"n02730930"	"cotton apron"
0.1559188167	"n02730930"	"apron in the corner"
0.1555402369	"n02730930"	"apron in the air"
0.1506658829	"n02730930"	"apron is worn"
0.1438462292	"n02730930"	"apron is fastened"
0.1436455728	"n02730930"	"small apron"
0.1433798574	"n02730930"	"apron in the morning"
0.1411727204	"n02730930"	"apron was worn"
0.1410791337	"n02730930"	"blue apron"
0.1387864125	"n02730930"	"white apron"
0.1382735794	"n02730930"	"apron is attached"
0.1364592225	"n02730930"	"black apron"
0.1298452346	"n02730930"	"apron in the Mercato"
0.129509501	"n02730930"	"little apron"
0.1288798525	"n02730930"	"gingham apron"
0.123796962	"n02730930"	"apron was embroidered"
0.1160248864	"n02730930"	"apron is put"
0.1135929493	"n02730930"	"green apron"
0.1130659047	"n02730930"	"apron is placed"
0.107174541	"n02730930"	"apron is used"
0.1065317239	"n02730930"	"apron was put"
0.1004124898	"n02730930"	"apron was hanging"
0.0994237493	"n02730930"	"clean apron"
0.0991977433	"n02730930"	"baize apron"
0.0979339582	"n02730930"	"apron is provided"
0.0974813052	"n02730930"	"kitchen apron"
0.097463142	"n02730930"	"apron was found"
0.0974310079	"n02730930"	"apron is made"
0.0964831503	"n02730930"	"apron is tied"
0.0947574706	"n02730930"	"apron was imbued"
0.0921531272	"n02730930"	"short apron"
0.0887249305	"n02730930"	"apron was laid"
0.088416111	"n02730930"	"apron was thrown"
0.0879378454	"n02730930"	"apron was made"
0.0869899878	"n02730930"	"apron was tied"
0.0761968716	"n02730930"	"apron is suspended"
0.0689610366	"n02730930"	"check apron"
0	"n02730930"	"leathern apron"
0.1692747016	"n02747177"	"plastic trash bin"
0.1606086017	"n02747177"	"plastic trash can"
0.1593866996	"n02747177"	"plastic garbage can"
0.1559523073	"n02747177"	"nearest trash bin"
0.1530211386	"n02747177"	"metal trash bin"
0.1516400382	"n02747177"	"nearby trash bin"
0.1511816338	"n02747177"	"big trash bin"
0.150969848	"n02747177"	"kitchen trash bin"
0.1505824643	"n02747177"	"large trash bin"
0.1502896295	"n02747177"	"such trash can"
0.1501017924	"n02747177"	"overflowing trash bin"
0.1496438374	"n02747177"	"empty trash can"
0.1484219353	"n02747177"	"empty garbage can"
0.147998626	"n02747177"	"tin trash can"
0.1475417067	"n02747177"	"huge trash bin"
0.1472862074	"n02747177"	"nearest trash can"
0.1467767239	"n02747177"	"tin garbage can"
0.1460643053	"n02747177"	"nearest garbage can"
0.1452961441	"n02747177"	"trash can in the garage"
0.1445630028	"n02747177"	"garbage can in the garage"
0.1444189343	"n02747177"	"household trash can"
0.1443550387	"n02747177"	"metal trash can"
0.1433133983	"n02747177"	"open garbage can"
0.1431970322	"n02747177"	"household garbage can"
0.1431331366	"n02747177"	"metal garbage can"
0.1429739383	"n02747177"	"nearby trash can"
0.1427396498	"n02747177"	"garbage can in the back"
0.1425155339	"n02747177"	"big trash can"
0.1423037481	"n02747177"	"kitchen trash can"
0.1421862173	"n02747177"	"wire trash bin"
0.1419163644	"n02747177"	"large trash can"
0.1414384914	"n02747177"	"plastic dustbin"
0.1414356926	"n02747177"	"overflowing trash can"
0.1414289224	"n02747177"	"small garbage can"
0.1412936318	"n02747177"	"big garbage can"
0.141081846	"n02747177"	"kitchen garbage can"
0.1406944623	"n02747177"	"large garbage can"
0.1398539678	"n02747177"	"bathroom trash can"
0.1394247946	"n02747177"	"trash can in the kitchen"
0.1390938376	"n02747177"	"trash can in the alley"
0.1387242866	"n02747177"	"aluminum trash can"
0.1386916533	"n02747177"	"garbage can in the kitchen"
0.1386755557	"n02747177"	"city trash can"
0.1383606964	"n02747177"	"garbage can in the alley"
0.1379549264	"n02747177"	"trash can in the bathroom"
0.1375023845	"n02747177"	"aluminum garbage can"
0.1374536536	"n02747177"	"city garbage can"
0.1373490166	"n02747177"	"human garbage can"
0.1370935484	"n02747177"	"corner trash can"
0.1362986748	"n02747177"	"trash can in the corner"
0.1361206777	"n02747177"	"gallon garbage can"
0.1357960088	"n02747177"	"trash can in the middle"
0.1355655336	"n02747177"	"garbage can in the corner"
0.1350628675	"n02747177"	"garbage can in the middle"
0.1344634467	"n02747177"	"steel trash can"
0.1342454267	"n02747177"	"iron garbage can"
0.1335201174	"n02747177"	"wire trash can"
0.1332415446	"n02747177"	"steel garbage can"
0.1322982153	"n02747177"	"wire garbage can"
0.1317324757	"n02747177"	"old garbage can"
0.1294277168	"n02747177"	"freedom trash can"
0.1286242326	"n02747177"	"family garbage can"
0.126845444	"n02747177"	"plastic trash barrel"
0.1257556818	"n02747177"	"Macintosh trash can"
0.1135230496	"n02747177"	"nearest trash barrel"
0.110591881	"n02747177"	"metal trash barrel"
0.1092107806	"n02747177"	"nearby trash barrel"
0.1087523761	"n02747177"	"big trash barrel"
0.1081532066	"n02747177"	"large trash barrel"
0.1077012877	"n02747177"	"green trash barrel"
0.1076725348	"n02747177"	"overflowing trash barrel"
0.1014713084	"n02747177"	"nearest ashcan"
0.1005566256	"n02747177"	"own dustbin"
0.0928694892	"n02747177"	"household dustbin"
0.0926778024	"n02747177"	"metal dustbin"
0.0853617794	"n02747177"	"large dustbin"
0.0758481543	"n02747177"	"ordinary dustbin"
0.0743308976	"n02747177"	"new dustbin"
0.0718007289	"n02747177"	"sanitary dustbin"
0.0660146725	"n02747177"	"iron dustbin"
0.0585050714	"n02747177"	"historical dustbin"
