n02268443	dragonfly	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: adult dragonfly, blue dragonfly, giant dragonfly, green dragonfly, large dragonfly, male dragonfly, red dragonfly, small dragonfly, winged dragonfly, young dragonfly	[lemma] in the *: 	*_NOUN [lemma]: adult dragonfly, darner dragonfly, emerald dragonfly, hawker dragonfly, skimmer dragonfly, zone dragonfly
n01872401	echidna	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Australian echidna, Tasmanian echidna, beaked echidna, female echidna, male echidna, nosed echidna, spiny echidna, young echidna	[lemma] in the *: 	*_NOUN [lemma]: baby echidna
n01872401	spiny anteater	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Australian spiny anteater, female spiny anteater	[lemma] in the *: 	*_NOUN [lemma]: 
n01872401	anteater	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: American anteater, Spiny anteater, banded anteater, giant anteater, great anteater, porcupine anteater, scaly anteater, silky anteater, spiny anteater, toed anteater	[lemma] in the *: 	*_NOUN [lemma]: Cape anteater, Giant anteater, baby anteater, pygmy anteater
n04200800	shoe shop	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Bata shoe shop, first shoe shop, large shoe shop, little shoe shop, local shoe shop, nearest shoe shop, old shoe shop, own shoe shop, retail shoe shop, small shoe shop	[lemma] in the *: 	*_NOUN [lemma]: Bata shoe shop, prison shoe shop
n04200800	shoe-shop	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n04200800	shoe store	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: exclusive shoe store, first shoe store, large shoe store, little shoe store, local shoe store, new shoe store, only shoe store, retail shoe store, small shoe store, wholesale shoe store	[lemma] in the *: shoe store in the city, shoe store in the mall	*_NOUN [lemma]: Boston shoe store, Florsheim shoe store, McAn shoe store, Miller shoe store, York shoe store, chain shoe store, discount shoe store, family shoe store, neighborhood shoe store, specialty shoe store
n01798484	prairie chicken	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Greater prairie chicken, Lesser prairie chicken, common prairie chicken, first prairie chicken, fried prairie chicken, greater prairie chicken, lesser prairie chicken, little prairie chicken, male prairie chicken, young prairie chicken	[lemma] in the *: 	*_NOUN [lemma]: Attwater prairie chicken, Wisconsin prairie chicken
n01798484	prairie grouse	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n01798484	prairie fowl	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: tail prairie fowl, tailed prairie fowl	[lemma] in the *: 	*_NOUN [lemma]: 
n04004767	printer	[lemma] was *_VERB: printer was allowed, printer was arrested, printer was imprisoned, printer was ordered, printer was prosecuted, printer was seized, printer was sent, printer was taken, printer was tried, printer was wanting	[lemma] is *_VERB: printer is attached, printer is connected, printer is given, printer is going, printer is set, printer is turned	*_ADJ [lemma]: English printer, celebrated printer, eminent printer, first printer, laser printer, poor printer, practical printer, public printer, same printer, young printer	[lemma] in the *: printer in the Canongate, printer in the city, printer in the colony, printer in the days, printer in the kingdom, printer in the office, printer in the place, printer in the reign, printer in the town	*_NOUN [lemma]: London printer, calico printer, computer printer, government printer, job printer, journeyman printer, line printer, master printer, matrix printer, state printer
n02481823	chimpanzee	[lemma] was *_VERB: chimpanzee was given, chimpanzee was observed, chimpanzee was reared, chimpanzee was shown, chimpanzee was taught, chimpanzee was trained	[lemma] is *_VERB: chimpanzee is concerned, chimpanzee is given, chimpanzee is known, chimpanzee is using	*_ADJ [lemma]: adult chimpanzee, common chimpanzee, female chimpanzee, infant chimpanzee, little chimpanzee, male chimpanzee, modern chimpanzee, old chimpanzee, wild chimpanzee, young chimpanzee	[lemma] in the *: chimpanzee in the London, chimpanzee in the Mahale, chimpanzee in the forests, chimpanzee in the wild, chimpanzee in the zoo	*_NOUN [lemma]: Gombe chimpanzee, Zoo chimpanzee, adult chimpanzee, baby chimpanzee, dwarf chimpanzee, lady chimpanzee, living chimpanzee, mother chimpanzee, pet chimpanzee, pygmy chimpanzee
n02481823	chimp	[lemma] was *_VERB: chimp was given, chimp was shown, chimp was taught	[lemma] is *_VERB: 	*_ADJ [lemma]: common chimp, female chimp, first chimp, infant chimp, little chimp, male chimp, old chimp, other chimp, poor chimp, young chimp	[lemma] in the *: 	*_NOUN [lemma]: S chimp, baby chimp, bonobo chimp, mother chimp, pygmy chimp, space chimp, zoo chimp
n02481823	Pan troglodytes	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: chimpanzee Pan troglodytes, young Pan troglodytes	[lemma] in the *: 	*_NOUN [lemma]: Chimpanzee Pan troglodytes, chimpanzee Pan troglodytes, chimpanzees Pan troglodytes, species Pan troglodytes
n02497673	Madagascar cat	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02497673	ring-tailed lemur	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02497673	Lemur catta	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: ranging Lemur catta, wild Lemur catta	[lemma] in the *: 	*_NOUN [lemma]: lemur Lemur catta
n04118538	rugby ball	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n01910747	jellyfish	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: common jellyfish, giant jellyfish, large jellyfish, little jellyfish, small jellyfish, spineless jellyfish, stinging jellyfish, stranded jellyfish, tiny jellyfish, true jellyfish	[lemma] in the *: jellyfish in the ocean, jellyfish in the sea, jellyfish in the water	*_NOUN [lemma]: Box jellyfish, Moon jellyfish, baby jellyfish, box jellyfish, comb jellyfish, compass jellyfish, hydrozoan jellyfish, mane jellyfish, moon jellyfish, water jellyfish
n04039381	racket	[lemma] was *_VERB: racket was broken, racket was coming, racket was getting, racket was going, racket was heard, racket was kept, racket was worked	[lemma] is *_VERB: racket is brought, racket is drawn, racket is going, racket is held, racket is kept, racket is swung, racket is taken	*_ADJ [lemma]: awful racket, deafening racket, good racket, great racket, infernal racket, much racket, new racket, terrible racket, terrific racket, tremendous racket	[lemma] in the *: racket in the act, racket in the hall, racket in the house, racket in the room, racket in the still, racket in the street, racket in the streets	*_NOUN [lemma]: drug racket, extortion racket, gambling racket, numbers racket, policy racket, prostitution racket, protection racket, smuggling racket, squash racket, tennis racket
n04039381	racquet	[lemma] was *_VERB: 	[lemma] is *_VERB: racquet is brought, racquet is held, racquet is swung	*_ADJ [lemma]: anterior racquet, badminton racquet, best racquet, fine racquet, good racquet, new racquet, old racquet, open racquet, other racquet, own racquet	[lemma] in the *: racquet in the hand	*_NOUN [lemma]: Prince racquet, Tennis racquet, Wilson racquet, aluminum racquet, badminton racquet, squash racquet, steel racquet, tennis racquet, wood racquet
n03218198	dogsled	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Alaskan dogsled, Iditarod dogsled, annual dogsled, famous dogsled, first dogsled, mile dogsled, own dogsled	[lemma] in the *: 	*_NOUN [lemma]: Iditarod dogsled, winter dogsled
n03218198	dog sled	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Iditarod dog sled, annual dog sled, mile dog sled	[lemma] in the *: dog sled in the winter	*_NOUN [lemma]: 
n03218198	dog sleigh	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n03337140	file	[lemma] was *_VERB: file was closed, file was created, file was given, file was kept, file was opened, file was saved, file was sent	[lemma] is *_VERB: file is closed, file is created, file is located, file is opened, file is read, file is stored, file is updated	*_ADJ [lemma]: Indian file, complete file, double file, first file, long file, new file, same file, sequential file, single file, vertical file	[lemma] in the *: file in the Department, file in the Office, file in the State, file in the War, file in the archives, file in the clerk, file in the court, file in the library, file in the office	*_NOUN [lemma]: batch file, card file, data file, database file, disk file, input file, master file, output file, source file, text file
n03337140	file cabinet	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: electronic file cabinet, large file cabinet, locked file cabinet, metal file cabinet, new file cabinet, old file cabinet, small file cabinet, standard file cabinet, vertical file cabinet, wooden file cabinet	[lemma] in the *: file cabinet in the back, file cabinet in the basement, file cabinet in the office	*_NOUN [lemma]: card file cabinet, drawer file cabinet, metal file cabinet, oak file cabinet, office file cabinet, steel file cabinet
n03337140	filing cabinet	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: electronic filing cabinet, green filing cabinet, large filing cabinet, mental filing cabinet, new filing cabinet, old filing cabinet, small filing cabinet, standard filing cabinet, vertical filing cabinet, wooden filing cabinet	[lemma] in the *: filing cabinet in the back, filing cabinet in the basement, filing cabinet in the office, filing cabinet in the room, filing cabinet in the study	*_NOUN [lemma]: card filing cabinet, cardboard filing cabinet, drawer filing cabinet, fourdrawer filing cabinet, mahogany filing cabinet, metal filing cabinet, oak filing cabinet, office filing cabinet, size filing cabinet, steel filing cabinet
n02085936	Maltese dog	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: little Maltese dog, tiny Maltese dog, white Maltese dog	[lemma] in the *: 	*_NOUN [lemma]: 
n02085936	Maltese terrier	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: little Maltese terrier, white Maltese terrier	[lemma] in the *: 	*_NOUN [lemma]: 
n02085936	Maltese	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: few Maltese, large Maltese, little Maltese, many Maltese, native Maltese, old Maltese, poor Maltese, small Maltese, white Maltese, young Maltese	[lemma] in the *: 	*_NOUN [lemma]: Anthony Maltese, C. Maltese, Casino Maltese, Corrado Maltese, II Maltese, M Maltese, Malta Maltese, Michael Maltese, diamond Maltese, enamel Maltese
n03483316	hand blower	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n03483316	blow dryer	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: electric blow dryer, held blow dryer	[lemma] in the *: 	*_NOUN [lemma]: hair blow dryer
n03483316	blow drier	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n03483316	hair dryer	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: electric hair dryer, handheld hair dryer, held hair dryer, in hair dryer, new hair dryer, ordinary hair dryer, portable hair dryer, small hair dryer, type hair dryer, watt hair dryer	[lemma] in the *: hair dryer in the bathroom	*_NOUN [lemma]: Electric hair dryer, W hair dryer, hand hair dryer, travel hair dryer
n03483316	hair drier	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: electric hair drier, portable hair drier	[lemma] in the *: 	*_NOUN [lemma]: 
n02396427	wild boar	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: European wild boar, Indian wild boar, enormous wild boar, fierce wild boar, furious wild boar, great wild boar, huge wild boar, large wild boar, old wild boar, young wild boar	[lemma] in the *: wild boar in the forest, wild boar in the forests, wild boar in the hills, wild boar in the jungle, wild boar in the mountains, wild boar in the neighbouring, wild boar in the valley, wild boar in the wood, wild boar in the woods	*_NOUN [lemma]: baby wild boar
n02396427	boar	[lemma] was *_VERB: boar was expected, boar was hunted, boar was killed, boar was sacrificed, boar was slain, boar was supposed, boar was taken	[lemma] is *_VERB: boar is brought, boar is hunted, boar is killed, boar is represented, boar is taken, boar is unharboured	*_ADJ [lemma]: Calydonian boar, Wild boar, black boar, great boar, large boar, mighty boar, old boar, white boar, wild boar, young boar	[lemma] in the *: boar in the fable, boar in the first, boar in the forest, boar in the forests, boar in the midst, boar in the mountains, boar in the neighbouring, boar in the valley, boar in the wood, boar in the woods	*_NOUN [lemma]: Berkshire boar, China boar, White boar, breeding boar, champion boar, forest boar, herd boar, mountain boar, prize boar, roast boar
n02396427	Sus scrofa	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: European Sus scrofa, pig Sus scrofa, wild Sus scrofa	[lemma] in the *: 	*_NOUN [lemma]: Artiodactyla Sus scrofa, Boar Sus scrofa, Pig Sus scrofa, Suidae Sus scrofa, boar Sus scrofa, pig Sus scrofa, pigs Sus scrofa, species Sus scrofa
n01729322	hognose snake	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: American hognose snake, Eastern hognose snake, Western hognose snake, eastern hognose snake, southern hognose snake, western hognose snake	[lemma] in the *: 	*_NOUN [lemma]: 
n01729322	puff adder	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: African puff adder, big puff adder, deadly puff adder, large puff adder	[lemma] in the *: 	*_NOUN [lemma]: 
n01729322	sand viper	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02106662	German shepherd	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: beautiful German shepherd, big German shepherd, black German shepherd, female German shepherd, huge German shepherd, large German shepherd, male German shepherd, old German shepherd, part German shepherd, white German shepherd	[lemma] in the *: 	*_NOUN [lemma]: family German shepherd
n02106662	German shepherd dog	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02106662	German police dog	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02106662	alsatian	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big alsatian, large alsatian	[lemma] in the *: 	*_NOUN [lemma]: 
n04264628	space bar	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: precise space bar	[lemma] in the *: 	*_NOUN [lemma]: Press space bar, keyboard space bar, press space bar, typewriter space bar
n03991062	pot	[lemma] was *_VERB: pot was boiling, pot was broken, pot was kept, pot was put	[lemma] is *_VERB: pot is boiling, pot is broken, pot is covered, pot is put, pot is removed, pot is set	*_ADJ [lemma]: big pot, cooking pot, earthen pot, flower pot, inch pot, large pot, little pot, porous pot, same pot, small pot	[lemma] in the *: pot in the following, pot in the kitchen, pot in the parlour, pot in the window	*_NOUN [lemma]: brass pot, chamber pot, clay pot, coffee pot, copper pot, earthenware pot, flower pot, iron pot, melting pot, tin pot
n03991062	flowerpot	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: broken flowerpot, common flowerpot, empty flowerpot, inch flowerpot, inverted flowerpot, large flowerpot, little flowerpot, ordinary flowerpot, red flowerpot, small flowerpot	[lemma] in the *: flowerpot in the window	*_NOUN [lemma]: Clay flowerpot, china flowerpot, clay flowerpot, earthenware flowerpot, medium flowerpot
n04493381	tub	[lemma] was *_VERB: tub was emptied, tub was produced, tub was put	[lemma] is *_VERB: tub is brought, tub is covered, tub is emptied, tub is kept, tub is provided, tub is set	*_ADJ [lemma]: big tub, cold tub, empty tub, great tub, hot tub, large tub, little tub, old tub, small tub, wooden tub	[lemma] in the *: tub in the back, tub in the bathroom, tub in the cellar, tub in the house, tub in the kitchen, tub in the morning, tub in the yard	*_NOUN [lemma]: bath tub, bathing tub, iron tub, laundry tub, mash tub, meal tub, morning tub, tin tub, wash tub, washing tub
n04493381	vat	[lemma] was *_VERB: vat was constructed, vat was covered, vat was introduced	[lemma] is *_VERB: vat is allowed, vat is closed, vat is covered, vat is dat, vat is prepared, vat is provided	*_ADJ [lemma]: blue vat, dipping vat, dye vat, fermenting vat, first vat, great vat, large vat, same vat, second vat, wooden vat	[lemma] in the *: vat in the basement, vat in the cellar, vat in the image	*_NOUN [lemma]: Sam vat, brewing vat, cheese vat, fermentation vat, indigo vat, lime vat, plating vat, steeping vat, storage vat, wine vat
n03899768	patio	[lemma] was *_VERB: patio was covered, patio was crowded, patio was deserted, patio was enclosed, patio was paved, patio was shaded, patio was surrounded	[lemma] is *_VERB: patio is built, patio is covered, patio is enclosed, patio is located, patio is paved, patio is shaded, patio is surrounded	*_ADJ [lemma]: back patio, central patio, inner patio, large patio, little patio, open patio, outdoor patio, private patio, small patio, spacious patio	[lemma] in the *: patio in the Spanish, patio in the back, patio in the backyard, patio in the old, patio in the rear, patio in the shade, patio in the summer	*_NOUN [lemma]: El patio, backyard patio, brick patio, dining patio, garden patio, glass patio, hotel patio, kitchen patio, marble patio, stone patio
n03899768	terrace	[lemma] was *_VERB: terrace was carried, terrace was covered, terrace was crowded, terrace was cut, terrace was deserted, terrace was formed, terrace was raised, terrace was reached	[lemma] is *_VERB: terrace is built, terrace is composed, terrace is covered, terrace is cut, terrace is divided, terrace is formed, terrace is reached, terrace is supported	*_ADJ [lemma]: broad terrace, first terrace, high terrace, highest terrace, little terrace, lower terrace, natural terrace, second terrace, small terrace, upper terrace	[lemma] in the *: terrace in the evening, terrace in the front, terrace in the garden, terrace in the gardens, terrace in the moonlight, terrace in the rear, terrace in the sun, terrace in the sunshine	*_NOUN [lemma]: brick terrace, cafe terrace, castle terrace, garden terrace, gravel terrace, hotel terrace, level terrace, river terrace, roof terrace, stone terrace
n03658185	letter opener	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Japanese letter opener, automatic letter opener, brass letter opener, bronze letter opener, electric letter opener, gold letter opener, handled letter opener, metal letter opener, sharp letter opener, silver letter opener	[lemma] in the *: letter opener in the shape	*_NOUN [lemma]: brass letter opener, ivory letter opener, silver letter opener, steel letter opener
n03658185	paper knife	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: bronze paper knife, gold paper knife, handled paper knife, heavy paper knife, little paper knife, metal paper knife, silver paper knife, small paper knife, wooden paper knife	[lemma] in the *: 	*_NOUN [lemma]: Sees paper knife, bone paper knife, ivory paper knife, silver paper knife
n03658185	paperknife	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: ivory paperknife, silver paperknife
n03770439	miniskirt	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: black miniskirt, blue miniskirt, green miniskirt, leather miniskirt, pink miniskirt, red miniskirt, short miniskirt, tight miniskirt, white miniskirt, yellow miniskirt	[lemma] in the *: 	*_NOUN [lemma]: denim miniskirt, lace miniskirt, leather miniskirt, plaid miniskirt, satin miniskirt, silver miniskirt, spandex miniskirt, suede miniskirt, velvet miniskirt, vinyl miniskirt
n03770439	mini	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: est mini, first mini, great mini, human mini, many mini, new mini, other mini, own mini, public mini, several mini	[lemma] in the *: 	*_NOUN [lemma]: J mini, Jo mini, TV mini, ad mini, leather mini, mini mini, quo mini, television mini, word mini
n03982430	pool table	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: antique pool table, big pool table, green pool table, large pool table, miniature pool table, new pool table, old pool table, size pool table, sized pool table, small pool table	[lemma] in the *: pool table in the back, pool table in the bar, pool table in the basement, pool table in the game, pool table in the living, pool table in the rear	*_NOUN [lemma]: Brunswick pool table, bumper pool table, regulation pool table, size pool table, slate pool table
n03982430	billiard table	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: English billiard table, excellent billiard table, first billiard table, large billiard table, new billiard table, old billiard table, public billiard table, sized billiard table, small billiard table, such billiard table	[lemma] in the *: billiard table in the White, billiard table in the hall, billiard table in the house	*_NOUN [lemma]: capital billiard table, mahogany billiard table, pocket billiard table, size billiard table
n03982430	snooker table	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: size snooker table, sized snooker table, small snooker table	[lemma] in the *: 	*_NOUN [lemma]: size snooker table
n04428191	thresher	[lemma] was *_VERB: thresher was stopped	[lemma] is *_VERB: 	*_ADJ [lemma]: American thresher, brown thresher, common thresher, driven thresher, first thresher, mechanical thresher, modern thresher, poor thresher, portable thresher, stationary thresher	[lemma] in the *: thresher in the barn	*_NOUN [lemma]: Case thresher, bean thresher, flow thresher, grain thresher, harvester thresher, pedal thresher, power thresher, rice thresher, steam thresher, wheat thresher
n04428191	thrasher	[lemma] was *_VERB: 	[lemma] is *_VERB: thrasher is singing	*_ADJ [lemma]: Brown thrasher, Crissal thrasher, Sage thrasher, breasted thrasher, brown thrasher, crissal thrasher, eyed thrasher, new thrasher, sage thrasher, wheat thrasher	[lemma] in the *: 	*_NOUN [lemma]: Brown thrasher, California thrasher, Sage thrasher, bill thrasher, grain thrasher, sage thrasher, steam thrasher
n04428191	threshing machine	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Scotch threshing machine, first threshing machine, large threshing machine, modern threshing machine, new threshing machine, old threshing machine, ordinary threshing machine, portable threshing machine, small threshing machine, stationary threshing machine	[lemma] in the *: 	*_NOUN [lemma]: Case threshing machine, grain threshing machine, patent threshing machine, power threshing machine, steam threshing machine
n03459775	grille	[lemma] was *_VERB: grille was closed, grille was fitted, grille was locked, grille was opened, grille was removed, grille was replaced	[lemma] is *_VERB: grille is located	*_ADJ [lemma]: bronze grille, front grille, iron grille, little grille, metal grille, new grille, open grille, small grille, une grille, wooden grille	[lemma] in the *: grille in the Ladies, grille in the ceiling, grille in the convent, grille in the door, grille in the floor, grille in the front, grille in the gate, grille in the old, grille in the top, grille in the wall	*_NOUN [lemma]: air grille, brass grille, iron grille, outlet grille, radiator grille, return grille, speaker grille, steel grille, window grille, wire grille
n03459775	radiator grille	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: new radiator grille	[lemma] in the *: 	*_NOUN [lemma]: 
n04252225	snowplow	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: basic snowplow, big snowplow, first snowplow, good snowplow, huge snowplow, new snowplow, old snowplow, rotary snowplow, shaped snowplow, small snowplow	[lemma] in the *: 	*_NOUN [lemma]: city snowplow, county snowplow, railroad snowplow, town snowplow
n04252225	snowplough	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: rotary snowplough	[lemma] in the *: 	*_NOUN [lemma]: 
n07716358	zucchini	[lemma] was *_VERB: 	[lemma] is *_VERB: zucchini is cooked, zucchini is done	*_ADJ [lemma]: fried zucchini, grated zucchini, green zucchini, large zucchini, medium zucchini, raw zucchini, size zucchini, sliced zucchini, small zucchini, unpeeled zucchini	[lemma] in the *: 	*_NOUN [lemma]: Cook zucchini, Cut zucchini, Place zucchini, Slice zucchini, baby zucchini, cup zucchini, cups zucchini, medium zucchini, pound zucchini, pounds zucchini
n07716358	courgette	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: fried courgette, large courgette, small courgette, yellow courgette	[lemma] in the *: 	*_NOUN [lemma]: medium courgette
n03791053	motor scooter	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Italian motor scooter, Lambretta motor scooter, first motor scooter, little motor scooter, new motor scooter, old motor scooter, red motor scooter, small motor scooter, wheeled motor scooter	[lemma] in the *: 	*_NOUN [lemma]: Cushman motor scooter, Honda motor scooter, Vespa motor scooter
n03791053	scooter	[lemma] was *_VERB: scooter was parked	[lemma] is *_VERB: 	*_ADJ [lemma]: electric scooter, little scooter, motorized scooter, new scooter, old scooter, own scooter, red scooter, small scooter, wheeled scooter, wheeler scooter	[lemma] in the *: 	*_NOUN [lemma]: Honda scooter, Lambretta scooter, Motor scooter, Vespa scooter, gym scooter, motor scooter, skate scooter, snow scooter, water scooter, wheel scooter
n04258138	solar dish	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n04258138	solar collector	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: active solar collector, efficient solar collector, flat solar collector, large solar collector, liquid solar collector, parabolic solar collector, passive solar collector, simple solar collector, type solar collector, typical solar collector	[lemma] in the *: 	*_NOUN [lemma]: air solar collector, plate solar collector, temperature solar collector, tube solar collector, type solar collector, water solar collector
n04258138	solar furnace	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: French solar furnace, great solar furnace, large solar furnace, largest solar furnace	[lemma] in the *: solar furnace in the Pyrenees	*_NOUN [lemma]: 
n04099969	rocking chair	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: American rocking chair, big rocking chair, comfortable rocking chair, favorite rocking chair, large rocking chair, little rocking chair, low rocking chair, old rocking chair, small rocking chair, wooden rocking chair	[lemma] in the *: rocking chair in the back, rocking chair in the front, rocking chair in the house, rocking chair in the kitchen, rocking chair in the living, rocking chair in the parlor, rocking chair in the room, rocking chair in the sitting	*_NOUN [lemma]: Windsor rocking chair, bentwood rocking chair, cane rocking chair, hickory rocking chair, leather rocking chair, mahogany rocking chair, oak rocking chair, porch rocking chair, walnut rocking chair, wicker rocking chair
n04099969	rocker	[lemma] was *_VERB: 	[lemma] is *_VERB: rocker is moved, rocker is pivoted, rocker is pressed, rocker is set	*_ADJ [lemma]: back rocker, big rocker, brush rocker, comfortable rocker, little rocker, low rocker, lower rocker, old rocker, small rocker, wooden rocker	[lemma] in the *: rocker in the back, rocker in the front, rocker in the kitchen, rocker in the living, rocker in the nursery, rocker in the parlor, rocker in the room, rocker in the sitting	*_NOUN [lemma]: Boston rocker, kitchen rocker, oak rocker, patent rocker, platform rocker, porch rocker, steel rocker, valve rocker, wicker rocker, willow rocker
n01756291	sidewinder	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: American sidewinder, little sidewinder, old sidewinder	[lemma] in the *: 	*_NOUN [lemma]: Desert sidewinder, desert sidewinder
n01756291	horned rattlesnake	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n01756291	Crotalus cerastes	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n13052670	hen-of-the-woods	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n13052670	hen of the woods	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n13052670	Polyporus frondosus	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n13052670	Grifola frondosa	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02093428	American Staffordshire terrier	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02093428	Staffordshire terrier	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: American Staffordshire terrier	[lemma] in the *: 	*_NOUN [lemma]: American Staffordshire terrier
n02093428	American pit bull terrier	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
